Short, Intermediate, Long
0.41729,0.20908,0.2416
0.30547,0.30755,0.22399
0.69289,0.45888,0.31049
0.49748,0.38259,0.20127
0.42539,0.57393,0.29327
0.48177,0.47506,0.29005
0.3872,0.29267,0.40436
0.22721,0.5093,0.23335
0.36743,0.50442,0.31987
0.59859,0.23937,0.20894
0.19777,0.30998,0.42895
0.42156,0.22649,0.22764
0.27579,0.48394,0.36213
0.34976,0.2593,0.28091
0.16256,0.36718,0.51338
0.24349,0.42961,0.45479
0.36288,0.37362,0.32101
0.46079,0.31363,0.21104
0.36203,0.27374,0.32712
0.58113,0.35891,0.39356
0.34618,0.49511,0.1915
0.44794,0.36309,0.26643
0.37686,0.4016,0.37097
0.45314,0.18329,0.50192
0.45764,0.53826,0.22124
0.28134,0.41764,0.34216
0.58252,0.34835,0.33178
0.6309,0.37074,0.42905
0.39608,0.47937,0.43633
0.25376,0.39583,0.4268
0.50073,0.29873,0.33254
0.34411,0.40002,0.2876
0.44653,0.37011,0.29903
0.38491,0.27771,0.30612
0.39447,0.41723,0.53694
0.36285,0.52687,0.28451
0.47177,0.71557,0.32204
0.66825,0.23328,0.23129
0.55596,0.36898,0.2727
0.50214,0.34879,0.37255
0.35785,0.39289,0.40733
0.43564,0.42419,0.25584
0.56085,0.33297,0.37468
0.44537,0.44935,0.41904
0.24191,0.25868,0.535
0.42154,0.1368,0.25438
0.31335,0.29082,0.22319
0.52098,0.41714,0.50003
0.47527,0.22301,0.29043
0.49825,0.47783,0.39463
0.33047,0.20846,0.28745
0.41172,0.45723,0.29516
0.45732,0.19276,0.34033
0.41371,0.53974,0.2884
0.60349,0.34108,0.43742
0.55023,0.31258,0.3362
0.4835,0.49656,0.22167
0.34692,0.25122,0.21843
0.52405,0.42742,0.12195
0.49233,0.39449,0.21801
0.47576,0.38289,0.34347
0.22816,0.1805,0.33016
0.42581,0.43739,0.22693
0.42425,0.3386,0.32811
0.23456,0.50093,0.44495
0.19282,0.41883,0.26156
0.2943,0.2631,0.13797
0.56326,0.24551,0.2591
0.3739,0.31595,0.38429
0.35037,0.3243,0.18091
0.31983,0.29916,0.29655
0.30154,0.44028,0.27053
0.3457,0.38841,0.56843
0.49988,0.4393,0.16221
0.27998,0.29829,0.36343
0.53987,0.21977,0.26875
0.40034,0.29515,0.27168
0.48695,0.35164,0.35607
0.51476,0.60794,0.18994
0.4094,0.35651,0.31489
0.2781,0.37285,0.27516
0.44538,0.38227,0.19093
0.49965,0.47017,0.34933
0.36274,0.50161,0.31568
0.5983,0.20854,0.34504
0.4363,0.42746,0.24239
0.37724,0.26947,0.3126
0.15959,0.2251,0.20682
0.21249,0.24404,0.23022
0.30561,0.54529,0.18249
0.24827,0.34278,0.26497
0.35517,0.39598,0.27949
0.45012,0.52443,0.18399
0.34024,0.31524,0.31988
0.40153,0.28642,0.45094
0.51286,0.26883,0.36057
0.20926,0.24247,0.20832
0.47847,0.32268,0.61841
0.2421,0.39791,0.23624
0.40171,0.52598,0.20121
0.56668,0.31124,0.49691
0.38556,0.55021,0.16545
0.3976,0.43121,0.34216
0.41533,0.25892,0.22058
0.65014,0.29832,0.22084
0.39671,0.44463,0.37485
0.25536,0.25459,0.14685
0.44932,0.30275,0.46064
0.30869,0.45395,0.30327
0.34411,0.4035,0.40761
0.33156,0.36061,0.30238
0.37695,0.35268,0.204
0.57999,0.50869,0.20794
0.27659,0.44549,0.21548
0.68408,0.36269,0.52823
0.37207,0.40644,0.31417
0.36,0.39703,0.27827
0.46639,0.22986,0.29397
0.28426,0.17844,0.3447
0.41524,0.37402,0.19589
0.59092,0.37396,0.33687
0.27374,0.24895,0.22076
0.46305,0.32103,0.39118
0.24726,0.47862,0.3486
0.41159,0.25796,0.3032
0.23885,0.26945,0.21777
0.4203,0.28336,0.27579
0.28532,0.52822,0.14804
0.2988,0.29675,0.29318
0.44636,0.42976,0.35766
0.28149,0.40117,0.38031
0.56367,0.42907,0.30796
0.66012,0.28701,0.40259
0.39733,0.66153,0.25428
0.25447,0.5348,0.30354
0.2286,0.56901,0.2193
0.40889,0.36405,0.39671
0.39695,0.38924,0.37655
0.54259,0.35876,0.488
0.20481,0.23775,0.38091
0.33293,0.27706,0.43932
0.5713,0.21243,0.17003
0.37033,0.22519,0.41286
0.14477,0.21216,0.23328
0.44469,0.30562,0.37637
0.75238,0.40322,0.27513
0.42446,0.36154,0.31857
0.45382,0.4075,0.46543
0.32528,0.42206,0.51409
0.57707,0.32098,0.51139
0.26431,0.437,0.35917
0.39949,0.32939,0.46633
0.34619,0.33848,0.32805
0.32033,0.36452,0.21124
0.55026,0.46148,0.28721
0.37386,0.4888,0.27224
0.51292,0.58971,0.094677
0.33358,0.2752,0.19359
0.50821,0.32149,0.4566
0.43779,0.32255,0.31478
0.31766,0.68099,0.30595
0.34074,0.30232,0.29694
0.34955,0.37761,0.4151
0.2776,0.43527,0.27124
0.32321,0.42757,0.4558
0.50227,0.45463,0.35746
0.57335,0.34261,0.45
0.38126,0.29081,0.26537
0.37783,0.38478,0.27947
0.30713,0.52209,0.23159
0.32231,0.56512,0.19908
0.36164,0.28539,0.32417
0.56265,0.20389,0.47116
0.45555,0.42478,0.25459
0.50397,0.47582,0.41196
0.66567,0.2311,0.42137
0.16872,0.40453,0.29069
0.38548,0.36189,0.24945
0.45111,0.12355,0.31862
0.6467,0.2767,0.35203
0.52635,0.22306,0.31683
0.46485,0.30972,0.30119
0.42207,0.3997,0.3579
0.51935,0.30379,0.4269
0.2511,0.4485,0.41981
0.4833,0.47136,0.33624
0.49922,0.47315,0.27335
0.28256,0.4452,0.33691
0.49686,0.44067,0.12573
0.21516,0.39367,0.44413
0.30263,0.10737,0.33043
0.47755,0.2402,0.25379
0.46219,0.3811,0.25558
0.25401,0.14486,0.28563
0.40548,0.3621,0.45396
0.30089,0.49809,0.37209
0.37568,0.3005,0.1332
0.36353,0.41531,0.27586
0.25899,0.33884,0.25019
0.35247,0.19538,0.21033
0.58088,0.30033,0.32105
0.46713,0.46298,0.27178
0.46934,0.38047,0.2768
0.57881,0.30999,0.31117
0.48298,0.23913,0.21002
0.26788,0.42358,0.33279
0.29589,0.32847,0.38911
0.33014,0.22027,0.31423
0.31885,0.28036,0.22985
0.38227,0.43295,0.29667
0.3303,0.40578,0.32953
0.41043,0.12662,0.38741
0.20532,0.1885,0.22454
0.35534,0.21905,0.31828
0.38958,0.37799,0.29305
0.39002,0.56015,0.37035
0.34199,0.47883,0.33906
0.24266,0.39733,0.40173
0.43636,0.32996,0.18896
0.36087,0.30933,0.29528
0.35177,0.38222,0.32587
0.44784,0.2564,0.26908
0.2382,0.43493,0.20535
0.4489,0.29317,0.3939
0.33426,0.25937,0.31071
0.48691,0.27769,0.1752
0.34453,0.42633,0.34078
0.69195,0.4015,0.13068
0.21496,0.2656,0.35222
0.12702,0.34714,0.29457
0.41951,0.33149,0.38232
0.21829,0.5614,0.39613
0.493,0.31942,0.22096
0.65081,0.46819,0.26594
0.38149,0.43071,0.069887
0.40758,0.20264,0.22936
0.37184,0.38564,0.42518
0.57922,0.58517,0.41066
0.5104,0.34644,0.30316
0.48995,0.25837,0.31749
0.33182,0.20981,0.30443
0.36892,0.49832,0.28667
0.4371,0.3814,0.24529
0.18709,0.4347,0.20743
0.49781,0.26029,0.2143
0.36232,0.38188,0.47993
0.38288,0.41395,0.23954
0.39945,0.53217,0.35792
0.50195,0.37551,0.3802
0.53787,0.36839,0.36458
0.37162,0.30188,0.27332
0.54747,0.55764,0.29942
0.50215,0.36788,0.23108
0.19908,0.35029,0.38452
0.35358,0.31717,0.35745
0.42733,0.14297,0.30107
0.33112,0.32342,0.24126
0.23996,0.38678,0.33252
0.3095,0.40716,0.12973
0.29277,0.31142,0.30388
0.44532,0.21755,0.18614
0.62708,0.39059,0.51888
0.38987,0.36103,0.216
0.47529,0.38056,0.35401
0.51653,0.27989,0.24278
0.20763,0.30248,0.32821
0.43558,0.55285,0.50073
0.21498,0.30549,0.30528
0.40131,0.35083,0.32452
0.50109,0.33795,0.39569
0.40712,0.43773,0.21127
0.27541,0.34281,0.49492
0.41206,0.34715,0.43712
0.32583,0.26137,0.10345
0.27575,0.43909,0.47012
0.48704,0.32577,0.31237
0.63088,0.19641,0.34788
0.57735,0.2646,0.13639
0.45159,0.39399,0.39814
0.34966,0.30132,0.34095
0.49364,0.30331,0.37012
0.21086,0.64373,0.35969
0.38987,0.40856,0.5511
0.17753,0.40977,0.28981
0.57554,0.38618,0.3554
0.71129,0.65155,0.31998
0.37591,0.45421,0.24302
0.54195,0.344,0.48451
0.25458,0.32152,0.39402
0.21603,0.40371,0.2784
0.58405,0.41409,0.3432
0.3866,0.35712,0.37682
0.47102,0.32186,0.25596
0.45506,0.457,0.31525
0.372,0.34676,0.20314
0.43904,0.26408,0.27026
0.5321,0.60985,0.42072
0.32988,0.32072,0.21822
0.69192,0.44699,0.31951
0.52399,0.54638,0.30205
0.39692,0.51165,0.38126
0.4324,0.48608,0.30726
0.51353,0.35594,0.16022
0.30567,0.45843,0.28857
0.30394,0.31904,0.24555
0.22825,0.2171,0.3478
0.2515,0.35636,0.3547
0.4364,0.52462,0.46278
0.41143,0.38337,0.27625
0.44822,0.43351,0.32716
0.49195,0.26626,0.31801
0.33055,0.23193,0.21583
0.40535,0.50704,0.30033
0.24497,0.18777,0.24276
0.3192,0.38038,0.32741
0.48997,0.26774,0.23216
0.24166,0.43224,0.32739
0.31971,0.52084,0.22678
0.51496,0.5154,0.40491
0.45758,0.133,0.23043
0.37248,0.4162,0.47359
0.28629,0.41635,0.24473
0.6148,0.32253,0.36084
0.36733,0.47964,0.28373
0.43283,0.4336,0.24343
0.47633,0.45388,0.48652
0.47251,0.50817,0.44364
0.60088,0.42829,0.25838
0.42665,0.49507,0.45645
0.36333,0.5459,0.22306
0.23177,0.50098,0.27319
0.35613,0.33071,0.64437
0.48508,0.44172,0.41415
0.17142,0.30804,0.26908
0.39884,0.31736,0.31267
0.27096,0.22896,0.31608
0.37124,0.42337,0.30951
0.19731,0.33154,0.26094
0.50582,0.28733,0.47739
0.42128,0.54003,0.25781
0.53541,0.58227,0.27471
0.34702,0.33757,0.202
0.63292,0.34271,0.21728
0.38449,0.2819,0.34883
0.53914,0.493,0.21732
0.38488,0.2715,0.14567
0.37511,0.45627,0.49367
0.32444,0.46515,0.37009
0.68227,0.28155,0.19795
0.42851,0.16922,0.43579
0.42023,0.37679,0.3299
0.34628,0.33865,0.45632
0.44321,0.49311,0.31923
0.32321,0.20211,0.31314
0.39208,0.35914,0.31125
0.44261,0.47188,0.33067
0.31464,0.39753,0.58444
0.3547,0.57566,0.16392
0.36472,0.27552,0.25029
0.33238,0.23866,0.38204
0.49388,0.38326,0.46494
0.29944,0.41058,0.22299
0.31038,0.28434,0.28317
0.47217,0.33496,0.37571
0.43881,0.35585,0.15984
0.33874,0.67724,0.28651
0.4544,0.40448,0.34553
0.35576,0.39716,0.33517
0.2494,0.28649,0.32057
0.55223,0.2422,0.41555
0.30954,0.18315,0.43271
0.41853,0.30955,0.28172
0.32248,0.28514,0.35345
0.39296,0.53329,0.32306
0.32785,0.37797,0.38357
0.25561,0.47386,0.48456
0.39186,0.34356,0.32154
0.66119,0.3417,0.39007
0.35305,0.17017,0.3423
0.22321,0.19073,0.43182
0.46199,0.25115,0.24388
0.34692,0.5227,0.31041
0.45432,0.54305,0.32352
0.38462,0.40224,0.39024
0.49538,0.55535,0.39951
0.63282,0.52652,0.26616
0.38909,0.37553,0.20645
0.39275,0.32678,0.49288
0.36141,0.41223,0.3801
0.52017,0.38352,0.43633
0.35631,0.50639,0.35032
0.45265,0.33515,0.3106
0.44315,0.49314,0.18279
0.48334,0.094189,0.53552
0.40315,0.31962,0.32249
0.22048,0.42969,0.34539
0.29654,0.27667,0.081261
0.25876,0.38319,0.40218
0.28221,0.42255,0.31011
0.36026,0.34105,0.36362
0.28396,0.34788,0.4093
0.31,0.5091,0.16742
0.42575,0.16677,0.30032
0.42229,0.53939,0.11667
0.35969,0.20331,0.26623
0.28687,0.4082,0.43223
0.48482,0.37312,0.23029
0.52464,0.14864,0.33536
0.24735,0.44709,0.16223
0.49832,0.60633,0.23541
0.37252,0.59792,0.26002
0.47452,0.35815,0.44834
0.34251,0.41267,0.35221
0.52326,0.23793,0.50248
0.40072,0.31365,0.32803
0.23374,0.49534,0.42389
0.62699,0.33079,0.33922
0.30138,0.29962,0.27865
0.46422,0.33104,0.40032
0.40351,0.47964,0.15333
0.35771,0.26852,0.35322
0.35083,0.33975,0.36535
0.25736,0.29505,0.14125
0.30402,0.26231,0.41192
0.37982,0.17836,0.42236
0.42539,0.52792,0.31409
0.44652,0.52643,0.22346
0.26547,0.36473,0.31194
0.41812,0.54525,0.40226
0.26507,0.18709,0.29602
0.33575,0.26094,0.16859
0.26435,0.49879,0.30727
0.37679,0.36018,0.38049
0.39118,0.41664,0.26974
0.6281,0.36116,0.30905
0.61651,0.49223,0.33461
0.2927,0.17882,0.37445
0.44135,0.25444,0.36132
0.46857,0.31369,0.28491
0.33114,0.46069,0.24944
0.42352,0.23365,0.24717
0.46226,0.28235,0.13016
0.58425,0.25057,0.24205
0.35715,0.31395,0.33582
0.48658,0.36327,0.43021
0.58116,0.39049,0.38909
0.28735,0.22676,0.21239
0.35849,0.26856,0.30882
0.63924,0.37467,0.19881
0.56401,0.29868,0.48366
0.27287,0.30446,0.32236
0.21692,0.33722,0.26153
0.34365,0.50293,0.2874
0.24627,0.45022,0.22861
0.56819,0.41485,0.35605
0.5255,0.56683,0.29388
0.42557,0.41115,0.25438
0.42483,0.37305,0.25541
0.24412,0.45142,0.44385
0.47657,0.53342,0.30991
0.29754,0.32001,0.22398
0.27743,0.29826,0.30911
0.38505,0.29363,0.28272
0.34984,0.47493,0.4219
0.37703,0.30092,0.28077
0.47782,0.37598,0.20902
0.66938,0.39779,0.41417
0.35183,0.43614,0.37033
0.34553,0.53997,0.22726
0.58277,0.29382,0.29565
0.32848,0.47794,0.47092
0.31382,0.18722,0.17001
0.50517,0.33052,0.23833
0.26183,0.32146,0.45377
0.39654,0.20664,0.29513
0.33956,0.21522,0.21943
0.51411,0.38528,0.4021
0.41071,0.21844,0.28049
0.37688,0.25776,0.17686
0.46726,0.46863,0.27554
0.56453,0.45018,0.38061
0.17761,0.48397,0.36811
0.37733,0.43225,0.28507
0.47708,0.29648,0.27269
0.52113,0.35258,0.34926
0.50012,0.71255,0.45483
0.30486,0.2835,0.28138
0.34742,0.305,0.37693
0.29171,0.15743,0.34643
0.21796,0.522,0.28248
0.40709,0.39321,0.15948
0.47785,0.45162,0.25005
0.62585,0.26182,0.24231
0.65185,0.24597,0.29525
0.43861,0.53914,0.34115
0.53907,0.4504,0.16384
0.48884,0.29141,0.19866
0.36587,0.28372,0.56019
0.51386,0.54076,0.24771
0.33205,0.61515,0.38725
