Short, Intermediate, Long
0.79921,0.86634,0.81569
0.72741,0.73293,0.63651
0.8046,0.71444,0.7867
0.84614,0.69425,0.67878
0.79313,0.63795,0.76017
0.72807,0.78201,0.69316
0.63887,0.85157,0.75388
0.85933,0.70385,0.79263
0.72629,0.78152,0.71577
0.60436,0.86598,0.74031
0.77297,0.74816,0.67466
0.57417,0.81142,0.83589
0.65098,0.53554,0.6381
0.67227,0.67633,0.75638
0.71196,0.76643,0.73462
0.76752,0.81045,0.75795
0.73416,0.71042,0.81429
0.6725,0.7143,0.73948
0.73194,0.63663,0.69749
0.76407,0.77688,0.75563
0.81212,0.66776,0.83835
0.69751,0.68706,0.75943
0.86123,0.65554,0.72651
0.76082,0.81088,0.75649
0.73132,0.79655,0.77137
0.69801,0.72543,0.75524
0.5701,0.75799,0.72464
0.63662,0.70364,0.63998
0.65149,0.63025,0.61747
0.78111,0.77428,0.70717
0.63409,0.82648,0.72122
0.78905,0.6161,0.77429
0.84123,0.66608,0.73571
0.62379,0.7396,0.80622
0.75653,0.6408,0.69109
0.65445,0.64971,0.68506
0.8238,0.62652,0.65703
0.74313,0.70324,0.68635
0.64672,0.83004,0.70434
0.79554,0.87682,0.7461
0.84096,0.77907,0.67576
0.83069,0.79313,0.69363
0.66323,0.76557,0.74744
0.7696,0.67637,0.67709
0.73609,0.79346,0.6721
0.67894,0.61711,0.68201
0.78952,0.7501,0.8432
0.77672,0.72609,0.61959
0.75264,0.75036,0.71592
0.72228,0.62899,0.70426
0.58823,0.7371,0.71379
0.75804,0.79656,0.71925
0.61028,0.77647,0.67895
0.85695,0.68177,0.82759
0.62213,0.68355,0.55018
0.73716,0.71282,0.80546
0.69291,0.74533,0.7338
0.71043,0.80419,0.73123
0.73686,0.72449,0.78773
0.69735,0.73766,0.80419
0.63422,0.83693,0.68446
0.74698,0.91252,0.64451
0.66889,0.79469,0.71507
0.90697,0.70741,0.75827
0.83325,0.79387,0.67453
0.69645,0.68836,0.78229
0.6446,0.75382,0.6966
0.72388,0.70459,0.67389
0.70658,0.82807,0.74294
0.66224,0.81154,0.7814
0.84169,0.69072,0.67723
0.6315,0.7373,0.74614
0.81072,0.73437,0.56805
0.72493,0.746,0.67774
0.66935,0.74276,0.79445
0.6277,0.69868,0.63794
0.7244,0.83551,0.75205
0.70504,0.61898,0.73699
0.73433,0.74266,0.75761
0.52059,0.81142,0.73747
0.79921,0.67392,0.68633
0.78688,0.72462,0.81217
0.76139,0.76269,0.82808
0.78029,0.76605,0.73056
0.629,0.74459,0.60722
0.7845,0.64778,0.71981
0.83972,0.84983,0.81181
0.67689,0.75831,0.7682
0.84361,0.79935,0.73605
