Short, Interm., Long
1.3798,1.5606,0.6449
1.2199,1.1129,0.32134
1.1673,0.71585,0.49178
1.5089,0.261,0.63084
0.18276,0.64247,0.8963
0.76362,1.1726,0.56255
0.68667,0.43137,0.096734
0.75728,1.2837,0.86036
-0.2291,0.86187,0.869
1.3235,1.0871,1.1321
0.68689,1.353,1.389
0.82025,0.68738,0.59308
1.4179,1.0038,1.2648
0.58066,0.65007,0.93344
0.25075,0.68744,0.94108
1.2778,0.66011,1.1034
0.77807,1.1603,0.78443
0.54953,0.14872,0.32304
0.56631,0.96107,0.53711
1.3146,0.82487,1.4495
1.0243,0.80545,1.3563
0.46686,1.0225,0.82351
0.90846,1.9379,0.7325
0.38792,1.1431,0.89649
1.1995,0.46724,0.67819
0.62359,0.89562,1.4215
1.3132,1.1218,0.43691
0.63863,1.524,0.89582
1.2676,0.88698,0.82276
0.17006,1.2151,0.66805
2.1757,0.46431,1.178
1.424,0.4749,0.29855
0.54426,1.4015,0.298
0.66672,1.2303,1.1832
1.0839,0.89611,0.98734
1.324,1.1863,1.3379
0.89238,1.5132,1.4595
0.99475,0.57928,1.1606
0.30496,0.66146,0.9231
1.4447,1.9629,1.0506
0.076284,1.2318,0.99312
0.85605,1.1109,1.0712
1.7695,0.5719,0.50195
1.1581,0.52084,1.4997
0.50493,0.82474,0.83347
1.1824,0.62165,0.97089
0.62261,0.60733,1.2874
-0.049574,0.93499,1.0175
0.49955,0.2594,0.96855
1.6705,0.98301,1.8725
0.7488,0.48912,0.19907
1.1757,1.2669,0.52669
2.9347,0.79098,0.49034
1.3987,1.1535,0.56814
0.99425,0.99188,0.77815
0.88442,0.70154,1.3465
0.2345,1.3878,0.78915
1.1763,1.4719,1.0296
0.9491,1.1127,1.4097
0.63397,0.64336,0.93574
1.3373,0.58004,1.2513
0.21961,1.8507,0.57421
0.75018,0.85422,0.6887
0.95432,1.3741,0.88888
0.62706,0.64289,1.2114
0.23199,0.95466,0.84027
0.79278,0.84092,0.73385
0.33598,-0.19868,0.97721
1.6656,0.21458,0.70964
0.91654,0.84237,0.96914
2.7811,1.2334,1.2059
0.071607,0.9852,0.33345
0.29659,1.303,0.89122
0.97604,0.34428,0.73652
1.5189,0.8043,0.70984
0.96814,0.57486,0.57706
0.55924,0.64039,0.69855
-0.0073289,0.65711,0.59388
1.8359,0.57312,0.14405
0.28476,0.75647,0.70568
0.90574,0.72666,0.85402
0.66022,1.1624,0.9947
1.4745,0.75125,0.44231
1.4469,1.431,0.9112
0.43121,2.4417,1.3057
0.70101,0.88004,1.2409
0.39821,1.0701,1.2838
1.2439,0.71396,1.3073
1.234,2.2499,1.0323
1.7935,0.35477,0.95412
1.1776,0.22273,1.0123
1.0395,0.56467,1.146
1.4011,0.88593,0.69264
0.72201,1.1911,1.1218
1.0858,1.0399,0.51969
0.93092,0.93222,1.0314
1.449,0.77699,0.62341
0.79299,0.2318,1.0342
0.5145,1.1,0.9801
0.87184,1.4755,1.2562
1.7684,1.0304,0.90404
1.0455,0.22677,1.2155
0.95082,0.26468,0.18162
0.64037,0.81452,0.80977
0.81129,1.6276,1.2251
2.479,0.77632,1.8394
1.6307,0.74068,1.1844
0.83098,1.7554,0.85663
1.5446,1.0592,0.83106
1.0734,0.91584,0.47204
0.82482,0.93154,0.99819
0.60708,1.3193,1.097
0.80329,0.80646,0.99784
0.53418,0.18547,0.73736
-0.0018702,1.5429,0.66488
1.038,1.0658,1.3993
1.7555,0.69289,0.50703
0.4102,2.0122,1.174
0.78908,0.90221,0.6048
0.55187,1.6402,0.23482
1.2239,1.1125,0.86665
0.63937,0.1335,0.70295
1.2357,1.4459,0.75535
1.2921,0.8107,1.0905
0.57832,1.2143,0.82711
0.61585,1.0447,0.91056
0.6791,0.4299,1.009
0.74373,2.4987,0.90743
0.80638,0.94142,1.0919
1.0709,1.1995,0.57106
1.0475,0.85359,0.52666
0.49549,1.2048,1.0048
0.37701,0.83589,1.1406
0.68899,0.20807,0.69596
0.97478,1.5807,1.01
1.2342,0.73183,1.6364
0.23111,1.5178,0.36642
0.91784,0.6033,1.3129
0.9289,0.76768,1.1927
0.46602,1.0304,0.70689
0.9621,0.58976,1.0831
0.89433,1.0373,0.7897
0.64421,0.7275,1.629
0.78397,0.86803,0.60766
0.32058,0.52353,1.1349
0.55522,1.3006,0.89742
1.2967,0.81052,0.87333
0.89288,1.1921,1.4404
0.50839,1.0302,1.5131
0.75658,0.75176,1.4905
2.4412,1.1062,0.96568
0.72741,2.5558,0.92474
1.4321,1.4793,0.45721
1.1078,1.201,1.475
0.76599,0.87213,0.92383
1.4256,0.93011,0.81066
0.20934,0.6838,0.62843
1.5604,2.1403,0.70368
1.5985,0.82938,1.1755
0.61176,1.0709,0.88131
0.74071,1.5032,0.6627
0.98053,0.17361,0.48444
