Short, Intermediate, Long
1.037,1.7801,1.4766
0.80658,0.76887,-1.3822
1.1167,0.40545,1.048
1.3059,-0.090987,-0.27981
1.4595,-0.65006,1.1882
0.23198,1.0121,0.12516
-0.71521,1.5611,0.78636
1.6717,0.52855,1.2932
-0.22378,1.1928,0.38871
-2.0339,2.0967,0.3702
0.81181,0.46538,0.11379
-2.6219,1.7099,1.5913
-0.26955,-3.9426,-0.91707
-1.2453,0.34309,0.82575
-0.14157,0.26608,0.38301
0.13419,1.3504,0.68458
0.53,-0.0015643,1.562
-0.40173,0.60399,0.023494
0.51898,-0.78144,-0.14633
1.1902,0.65083,0.97304
0.70671,-0.35294,1.5639
0.73749,0.089723,1.032
2.1158,-0.38277,0.89933
0.71989,1.6453,1.302
1.467,1.2832,0.59831
0.72639,0.22284,0.59086
-2.6614,0.85074,0.12529
-1.3189,0.37514,-1.0356
-0.83215,-0.94949,-0.973
1.0955,0.98259,0.50301
-1.2678,1.4855,-0.06843
0.95413,-1.2633,1.3362
1.3742,-0.21116,0.63865
0.093589,0.58544,1.1066
0.69882,-0.3999,-0.011253
-0.36842,-0.82132,0.032106
1.3241,-1.5217,-0.30829
0.43019,0.1597,0.24105
-1.3553,1.404,-0.17381
1.1675,1.6629,0.74089
1.6535,1.2592,-0.89467
1.4319,0.80717,0.39335
-0.18662,0.40723,0.59503
1.348,-0.077271,-0.34707
1.0745,0.95946,-0.12641
-0.7361,-1.6582,-0.023367
1.1684,0.73052,1.5049
1.1122,0.25614,-1.6745
0.24154,-0.053218,0.26762
0.97139,-0.68868,0.2314
-1.92,1.0553,0.086215
0.8297,1.3122,0.62041
-1.8542,0.92544,-0.50446
1.7533,-0.049356,1.716
-1.3993,0.25093,-3.1815
0.94253,0.72375,1.3563
0.32953,0.35137,0.78751
-0.067319,0.91842,0.85053
0.62824,0.49228,1.4536
-0.50001,1.1793,0.7728
-1.3289,1.2195,0.186
0.67517,1.7725,-0.45586
-0.297,0.78913,0.18116
1.9584,0.21442,0.59281
1.4072,1.6035,-0.65341
-0.20987,-0.38848,1.352
0.1851,0.43827,-0.30301
-0.04836,-0.066349,-0.64589
0.017824,1.6954,0.91374
-0.38238,1.5434,1.195
1.3579,0.4151,-0.13963
-0.48535,0.5336,0.53047
1.3216,0.53769,-2.6407
0.96782,0.32182,-0.15157
-0.69065,0.64164,1.1807
-2.5435,0.34612,-0.90897
0.36874,1.8373,0.83911
0.5893,-1.9087,1.2582
0.55075,0.90591,0.16986
-4.4038,1.1974,0.56012
1.5917,-0.26512,0.25516
0.52259,0.93996,1.3605
1.2593,1.18,1.3273
0.55325,0.86687,0.98895
-0.76733,0.49991,-2.3186
0.69195,-0.85876,0.58683
1.6429,1.8161,1.8593
0.087467,0.57132,1.5314
1.2352,1.0919,0.23961
1.3463,1.3829,1.3273
1.3919,-0.4156,-0.054621
0.77056,0.038134,0.11463
1.1723,-1.239,0.76347
1.7585,1.5812,-0.2181
0.60124,-4.3791,0.25632
-2.2509,0.92102,1.0661
1.5345,0.98032,1.7105
0.63699,1.1671,0.17166
-1.2683,1.0739,0.23117
0.78862,1.6054,-0.22885
-1.725,0.29888,0.29504
0.77641,-0.67962,-0.503
-1.0089,-0.95237,0.71609
-1.7166,1.2575,0.46632
1.1953,0.88527,0.44428
0.36132,0.4982,-0.68613
1.52,0.5384,-0.016147
-0.41993,1.1023,0.18855
0.99303,-3.1641,1.7743
-0.77094,1.7287,-0.93463
1.4802,0.58076,0.76233
1.6041,-0.56985,1.1817
0.42877,1.5385,-0.33928
-0.38535,1.9771,0.31807
-3.4192,0.96522,0.28468
-2.5411,1.5328,2.0355
0.028535,1.1626,0.35152
1.0352,0.93252,-0.79111
0.60689,0.52114,0.086908
-0.038255,1.3603,0.93626
0.65379,1.1092,0.25076
1.2883,0.83373,-0.15013
1.6363,0.56832,0.28499
-0.31634,0.91264,1.162
2.1888,0.51681,1.0652
1.2893,1.9676,0.2697
0.20425,0.50703,0.76084
1.1695,-0.043562,0.28238
1.6946,0.98086,-0.71443
1.4267,1.2211,1.1079
1.4452,0.74428,0.10157
-1.3954,-0.95706,1.0203
-1.7741,1.0755,0.24083
0.83445,-2.4167,-1.5264
1.2153,-0.97835,0.83545
2.2777,0.39426,1.2303
-1.2957,0.67693,-0.2868
2.2392,1.709,-0.25204
-0.082904,1.2365,-0.45141
-0.2891,1.3081,-0.4886
0.38957,-0.50425,-0.26682
0.72323,1.48,0.404
-1.348,1.1512,-1.1402
1.0377,0.5979,1.0661
-0.70479,0.025618,-1.0212
-0.20384,-1.9128,-0.012988
0.33121,0.36787,1.2174
1.6996,-0.22061,-1.0571
0.0062946,-0.42635,0.12125
-0.56243,0.37311,0.85199
1.1017,0.15064,0.58251
1.2295,1.293,0.57713
-0.66174,-1.7122,-2.2923
0.37846,-0.13259,1.0485
-0.13813,-0.18655,0.50175
0.92316,-0.74611,0.94114
-0.41521,-1.1034,0.091042
-0.11213,0.58677,1.0129
-0.013824,0.93186,-0.099185
0.058346,0.83439,0.58843
0.42233,0.75794,0.073701
0.55188,0.92618,1.2441
1.3149,1.3223,1.1691
2.0207,-1.5212,0.32823
-0.079578,-0.28259,-0.19133
0.11383,0.69094,0.67121
-1.0462,1.6938,0.33955
1.9846,-0.96082,1.0984
1.3277,-0.27249,1.4074
0.61701,-2.1635,0.68475
0.65673,-1.134,-1.6091
1.1158,1.1679,1.2879
-0.38771,1.755,-0.40148
1.1741,0.86836,1.1378
-1.3436,0.49458,-2.0134
-2.1422,0.95908,0.20174
-1.0488,-0.30156,1.7973
-0.031503,1.444,0.83238
1.574,1.9455,0.35717
-0.91268,-0.40964,-0.26069
-0.2483,1.0277,0.90237
0.036475,-1.1228,1.0334
1.9003,0.044379,1.4323
0.173,-0.14969,0.57967
1.0369,0.55602,-0.54493
1.5005,0.81035,0.74153
1.5227,1.1032,-0.65453
0.013953,0.18697,1.5591
-4.1783,0.91764,-0.70243
1.119,0.75674,0.22726
1.4163,0.99871,-2.9139
0.10605,0.028777,0.60375
1.6279,0.90791,-0.83971
-0.19232,0.97356,0.62005
0.20113,0.94406,-0.15662
1.7964,0.471,1.1316
1.4658,0.27802,0.43127
-0.96316,1.2922,0.49682
0.95949,0.44077,0.31361
0.51227,1.0856,0.049126
-1.5124,0.30172,1.1194
1.0434,0.24841,-0.3113
0.14512,-0.31417,-0.82196
-1.2314,2.0185,1.5651
-1.387,0.96274,1.0221
0.78557,0.31484,-0.19518
-0.18881,0.77504,0.14459
1.2942,-0.39105,1.4267
1.229,1.2503,0.643
2.1706,-1.1398,0.16665
-0.27472,-1.4538,0.18646
1.3366,-1.7969,1.5037
0.9816,-0.55663,1.8673
0.2779,0.41569,-0.34108
1.3772,0.5553,0.98546
0.77501,-0.27962,-0.040626
0.48907,-0.40546,1.1021
0.74863,1.1764,0.35897
1.1608,0.24845,1.2169
1.6683,1.7294,-0.12906
-0.057044,1.0728,0.12037
1.1982,0.94646,0.22464
-0.19807,0.11174,0.61571
-0.055277,1.0277,0.85887
-0.67965,0.57802,0.66986
-0.88296,-0.032544,1.2417
1.1798,0.083702,-0.74764
0.56462,-0.096284,1.2266
1.4273,-0.044658,-1.8315
0.094916,1.5381,0.13733
0.070974,0.56035,-0.48665
1.0195,0.90198,-1.2785
-0.13293,1.4543,1.4516
-0.86076,1.4595,-0.48446
1.2904,0.37058,-0.59973
-0.3263,0.14051,0.82477
0.99733,2.0761,-0.18714
1.053,0.072493,-0.40255
1.2449,-1.0416,0.60845
0.8706,1.4637,-0.34039
0.32922,1.0961,-0.9406
0.54125,-0.037085,0.1666
1.3346,-0.042021,1.1915
0.92831,0.76021,1.1154
0.36174,0.16175,-0.30471
0.79487,0.21908,1.4308
0.76522,-0.6642,-0.0052808
0.73344,0.53059,-0.30915
0.042132,-0.23642,0.16018
0.28062,0.10323,-0.777
1.0676,0.18993,0.38409
0.47195,-0.35786,0.72424
0.72372,0.72393,-0.76136
0.41606,-1.0408,-0.18042
1.1574,-1.0859,-0.06976
0.81132,0.82944,0.37894
1.8595,0.77099,0.070005
-0.47999,0.246,-0.65061
-0.7986,-0.18446,-0.090282
1.3825,0.6745,0.97901
1.6603,1.2352,-1.5624
-0.77524,-0.635,0.21612
0.64151,-0.3102,-1.4815
-1.9417,0.85638,0.71542
-0.3878,0.63206,1.1967
2.0536,0.98334,1.4016
0.024721,-1.4611,1.219
1.2095,0.87355,1.224
0.14208,0.91297,-0.45246
-0.048234,0.98635,-0.47816
0.67861,0.68557,0.74023
-0.96161,1.1533,1.1206
0.94684,0.74789,0.37192
1.9212,-0.24437,0.4214
-0.059628,0.68009,-0.084907
-1.002,-0.33807,0.5286
-2.4969,1.3202,0.33273
0.19276,1.8862,0.3434
0.29233,0.97106,1.2633
1.0047,-0.14328,0.46206
0.79118,0.46875,0.78327
-0.99584,-2.102,0.37222
1.2486,0.53499,-1.8068
0.10877,-0.35384,0.26543
1.034,-0.13783,-0.20045
-3.4238,0.74251,-0.41902
1.8896,-1.4082,-1.0962
-0.28625,-0.21482,0.00078975
-0.32284,-0.05413,-0.4945
1.5463,1.0157,-0.1124
-0.54432,-0.15388,0.96028
0.33192,0.84025,0.59972
0.39031,-0.81021,0.86682
1.5484,-0.12284,0.81995
1.53,1.2791,1.5468
0.82788,1.4769,-0.24458
-1.2921,-2.0688,0.63003
0.9298,0.39735,1.5437
0.23675,-0.6744,0.31034
-2.0449,-0.2711,-0.90562
-0.39092,1.431,-0.27958
0.39622,1.8769,1.351
-0.0033085,-0.52509,-0.43091
0.62868,1.0055,0.26047
1.572,-0.66149,1.1897
-0.43884,0.29056,0.1834
0.34019,-0.32621,0.0951
0.62101,-0.35983,0.95194
-2.8144,0.1471,0.0021526
1.0896,0.4285,0.16021
0.5673,-0.12738,0.85223
0.69825,-0.0088491,1.1774
0.42982,-3.3108,1.2596
-0.67928,1.3444,0.57759
0.6294,-0.34049,0.29683
-1.3011,0.74019,-1.4557
0.51726,-0.61648,0.67266
1.2878,0.45468,1.2732
-2.1282,0.53886,-0.65486
-1.9438,1.1479,0.54793
1.2647,-0.62757,1.5849
-1.3864,-0.069986,0.26061
0.45733,0.027187,0.03279
1.3512,0.90357,-0.084903
-3.6375,0.88974,1.2009
0.65015,0.3418,0.32639
0.52495,0.50781,0.14368
-1.8087,-0.030299,1.5646
0.48319,-2.5203,1.6263
1.3755,-2.9336,-1.2118
1.8987,-0.44526,0.397
0.26855,1.3787,-0.19977
1.0816,1.0781,-0.22805
0.59153,1.1301,0.87831
0.12229,-1.4751,1.8319
1.3305,-1.8888,0.52434
2.0656,-1.5504,0.26767
1.7131,1.172,1.0184
0.5757,-0.74615,0.096276
-0.93642,-0.36063,1.5
-0.23294,-1.331,-0.89112
0.23051,0.43382,0.014107
0.68321,0.1795,0.62903
0.16211,1.37,1.0495
0.96494,1.2776,0.86399
-1.2713,-0.079542,-1.0222
1.8089,-0.47435,-1.197
1.9619,1.2801,1.4655
-2.6507,0.93175,1.0227
-0.45247,0.84765,0.91559
1.7169,0.77922,-0.46482
-1.8261,0.36242,-0.75026
0.61574,1.2638,1.2299
-0.91852,0.38609,0.165
1.5029,1.0207,-0.036622
0.38179,0.27803,-1.7494
0.64262,0.5445,-0.58181
-0.053914,-2.1651,0.85186
0.60454,-0.95751,0.70906
-0.7121,0.23809,1.2047
-0.30365,0.20755,0.21491
-0.37631,-0.26329,1.2651
0.89278,0.085242,0.7067
0.60955,1.2775,0.50453
0.94428,1.7252,0.27445
1.4976,-0.49161,0.46859
-1.0072,1.4458,0.53363
1.502,0.65169,0.35807
2.1133,1.9886,0.28477
1.2645,0.96887,-0.39633
-0.48933,-0.39243,-0.33472
1.1802,-0.081714,0.89014
0.58823,0.20705,0.69071
2.2171,-0.037707,0.66928
-0.66627,-0.30984,0.13687
1.2437,1.7595,0.44927
-0.07496,0.99895,-0.11697
-0.58793,0.44075,0.80048
-0.72147,-1.5371,1.1917
-1.1399,1.1529,-0.89342
0.57773,-0.78036,0.44123
0.58795,0.94738,-0.80326
1.1967,-1.5856,1.2962
0.19935,0.00921,0.24122
-3.8018,0.10843,0.82086
-2.9898,0.98715,2.0419
0.24337,-0.22858,-0.43932
0.51847,1.1886,0.56466
-0.47736,0.29832,1.3268
0.8597,-0.17007,0.18671
1.0632,-1.3038,-0.26988
0.0059414,1.0733,1.0004
1.014,1.0522,1.3105
0.6678,0.48704,0.022087
-0.63231,1.1816,-0.043902
1.5497,0.95204,0.87905
-2.2045,-0.69543,1.6101
-0.878,0.30506,-2.3637
1.5034,-1.0265,0.15106
1.1552,-0.14715,-1.1963
0.34988,0.94173,0.54068
0.097353,0.69758,0.70223
0.9749,1.4289,0.4955
1.0398,-2.0741,-0.0096456
0.56933,0.9669,0.89852
0.27926,0.96165,0.44569
0.017472,1.4436,0.10784
1.4001,1.1303,0.1734
1.5013,0.69959,0.6754
-0.93469,-0.74033,0.58169
0.98119,-0.67335,2.0691
1.4564,1.9225,-0.57164
1.0112,-1.4711,0.28049
-4.6314,1.0673,-1.7712
1.3684,0.79685,1.4722
1.6678,-1.7197,-0.12813
0.84344,0.85742,-1.8288
1.9101,0.67384,-0.66843
0.84245,1.3893,0.81878
1.1563,1.7245,1.6382
0.82707,-0.10328,1.4897
1.6704,-0.62985,0.69391
0.63426,0.7069,0.42734
1.2445,0.088336,0.23953
-0.53033,1.1089,0.61453
-1.0715,-3.1667,1.2375
1.4765,-1.5253,0.69036
1.2686,1.0286,0.6632
1.1875,1.1827,-0.76667
0.45294,-0.54401,-0.84491
0.22844,1.0984,1.3202
-1.8938,-0.66371,-0.42123
0.42906,1.1711,0.50162
1.4346,0.67038,-0.92752
-0.23101,0.29286,0.85185
-0.57215,1.3491,-1.6905
1.8111,0.49793,0.52189
1.8361,0.17706,0.26239
0.28879,1.1941,1.0149
0.45159,1.6348,1.6939
-0.87909,0.22197,0.59343
0.81199,1.1714,1.4238
0.26193,0.92875,0.26513
1.1005,0.22721,-1.5959
1.0531,-0.35105,-2.5593
0.57973,0.4411,0.16708
-0.65132,1.2454,0.88036
0.10108,1.116,1.1801
-0.80881,-0.42537,-0.054341
0.68923,-1.9678,1.0587
-0.33876,0.023698,1.422
1.0572,-0.35215,1.1772
-0.16788,-0.30423,-0.037438
-0.43578,0.78568,1.4
1.4086,-2.4207,0.87649
1.5367,0.087673,0.53139
1.1636,0.84281,0.48635
-0.86516,1.5169,1.0856
0.49912,0.25606,1.2377
-0.069889,-2.0728,0.59657
1.0758,1.8391,-0.041488
0.61386,1.7558,0.30691
1.9429,1.1726,0.23457
1.5641,-2.4797,1.0461
0.43859,1.5826,1.09
-0.017497,0.11,0.98773
-1.0001,1.6862,-0.0030957
-0.50925,0.33332,0.59987
0.39219,-0.21431,0.79213
-2.0275,1.134,0.65499
0.95338,0.039599,1.0581
1.513,-0.10466,0.03887
0.60769,-0.57972,0.65901
1.6587,0.12719,0.4503
-2.6738,0.73452,1.7252
1.7833,0.38913,0.91158
0.54542,-0.29332,0.7541
-0.12618,0.94012,0.11967
-0.047176,0.59083,1.405
-0.60544,0.828,-1.0459
-0.37989,-1.9804,-0.62049
1.1503,0.77681,-0.18054
0.79323,0.26706,0.63563
-2.0186,-0.35561,0.80717
0.95689,0.77256,-0.76131
0.16431,-1.2646,-0.95504
1.9352,-0.56746,0.78239
0.49542,-0.78874,-0.08829
1.1748,1.7788,0.84216
0.77652,-1.7874,0.53412
1.2587,-2.1724,1.6025
0.091053,0.13274,-0.67391
-4.1627,1.5195,-0.60207
-1.2531,0.60375,-1.5822
1.3938,0.0022016,0.83374
-0.64185,-1.2189,0.5164
-0.55426,1.0069,0.69807
1.6779,0.51135,0.20909
1.0109,0.94452,1.323
0.22657,-1.0749,1.0246
