Short, Intermediate, Long
0.7622,0.61637,0.51867
0.7798,0.65681,1.0597
0.78903,0.84581,0.55522
0.66645,0.80566,0.81218
0.33757,0.83491,0.75201
0.84866,0.74885,0.8589
0.76395,0.49196,0.8225
0.66295,0.62439,0.56846
0.85005,0.74289,0.78506
1.1201,0.4085,0.8391
0.77186,0.77376,0.68421
1.1779,0.56889,0.62459
0.89407,1.4142,0.86868
1.0437,0.61632,0.73352
0.82583,0.83493,0.85011
0.82729,0.68026,0.79635
0.84313,0.91122,0.53278
0.97695,0.48872,0.90358
0.77353,0.98334,0.83475
0.63821,0.81362,0.64479
0.8527,0.927,0.51583
0.76356,0.84135,0.68122
0.20516,0.89442,0.52212
0.73703,0.56879,0.6137
0.35021,0.76109,0.79183
0.5798,0.85099,0.67266
1.172,0.74104,0.76949
1.0355,0.7402,1.0036
0.97365,1.0262,0.77582
0.56067,0.7459,0.80415
0.95283,0.60588,0.88408
0.6891,1.0495,0.43477
0.69891,0.8488,0.76484
0,0.77706,0.72224
0.85442,0.88106,0.87419
0.93321,0.86246,0.73033
0.72113,1.0797,0.83697
0.78995,0.85459,0.74975
0.97042,0.7211,0.89014
0.78221,0.69971,0.72792
0.5704,0.63193,0.9856
0.65719,0.83549,0.66644
0.88958,0.7962,0.81098
0.1946,0.88147,0.95746
0,0.62292,0.92094
0.91212,1.075,0.73531
0.69809,0.6721,0.61878
0.67104,0.85676,1.0777
0.90268,0.9285,0.79362
0.58428,0.94048,0.77128
1.1037,0.69529,0.8438
0.81716,0.6857,0.71913
1.0796,0.69018,0.94183
0.49845,0.90469,0.51578
1.0155,0.74994,1.2594
0.64518,0.78596,0.64982
0.8396,0.80226,0.52488
0.90876,0.67669,0.67092
0.69199,0.81298,0.42876
1.0165,0.49513,0.81851
1.0522,0.47415,0.82334
0,0.68133,0.81586
0.87288,0.69852,0.73734
0.63923,0.767,0.73219
0.66762,0.54697,0.95132
0.88398,0.93572,0.6847
0.77858,0.81238,0.92678
0.96906,0.71544,0.94636
0.92458,0.43142,0.55855
0.85972,0.54522,0.55478
0.71336,0.4556,0.7568
0.75771,0.82769,0.74719
0.73324,0.74256,1.1679
0.52043,0.73419,0.73061
1.0054,0.76293,0.63497
1.1576,0.72536,0.91777
0.71748,0.46275,0.73049
0.53014,1.1072,0.41941
0.80307,0.81802,0.89131
1.4142,0.7149,0.73904
0.6572,0.82946,0.63003
0.80592,0.683,0.55968
0.47665,0.65746,0.65039
0.87275,0.78824,0.6024
0.81661,0.82999,1.1565
0.79229,0.93995,0.66905
0.73172,0.49305,0.46723
0.74993,0.7516,0.50584
0.78783,0.76269,0.71151
0.73084,0.76966,0.68972
0.60541,0.71511,0.84476
0.74605,0.86346,0.64936
0.73081,0.89593,0.80092
0.63314,0.10262,0.92038
0.85744,1.4076,0.79793
1.1445,0.82735,0.66099
0,0.73751,0.5988
0.83905,0.70395,0.82038
1.0162,0.80354,0.72749
0.61638,0.7005,0.89558
1.0557,0.74226,0.83764
0.52793,0.94278,0.72645
0.7346,0.94579,0.7586
1.0282,0.73234,0.85419
0.76412,0.70652,0.65309
0.7106,0.66825,0.90384
0,0.83262,0.72621
1.0034,0.679,0.84612
0,1.2468,0.49904
0.92479,0.70498,0.99669
0.27248,0.78682,0.74986
0.56321,0.95768,0.746
0.80787,0.70729,0.89786
0.90309,0.56442,0.81092
1.2667,0.7341,0.71248
1.0982,0.59201,0.53918
0.83908,0.81441,0.81824
0.60837,0.67846,0.93156
0.7279,0.79477,0.86389
0.76683,0.75362,0.53327
0.8661,0.63787,0.81706
0.71063,0.77369,0.79849
0.48878,0.83941,0.81836
0.9785,0.70069,0.57516
0.53728,0.5393,0.75697
0.70742,0.2099,0.78478
0.47729,0.63465,0.63826
0.72086,0.76637,0.80881
0.66004,0.68975,0.97256
0.48619,0.68408,0.67445
0.72125,0.70099,0.83959
1.0814,0.99212,0.65457
1.1145,0.72998,0.89052
0,1.1655,1.0632
0.43896,0.96337,0.50211
0,0.83254,0.56068
1.0362,0.61541,0.90428
0.57647,0.53688,0.95778
0.93386,0.14236,0.83919
0.91978,0.68211,0.92668
0.89329,0.89838,0.89102
0.77446,0.66518,0.72433
1.0633,0.37481,1.0022
0.53761,0.69146,0.60249
0.97043,0.72319,0.99917
1.0014,1.0865,0.73897
0.89025,0.85963,0.68471
0.62238,0.85049,0.93858
0.76638,0.89845,0.85249
0.94231,0.62056,0.77887
0.62352,0.87844,0.77593
0.76821,0.73715,0.82052
0.88265,1.0632,1.1383
0.81578,0.93163,0.501
0.91353,0.8649,0.75352
0.10468,0.93301,0.74313
0.88466,0.98527,0.8053
0.89039,0.65034,0.63179
0.5603,0.84199,0.75884
0.89034,0.72042,0.75487
0.75499,0.84825,0.70116
0.6753,0.73955,0.47009
0.6569,0.63626,0.75091
0.57287,0.95827,0.87203
0.91736,0.63139,0.89609
0.89903,0.7836,0.65691
1.0157,0.41816,0.85169
0.4761,0.98179,0.67638
0.68855,0.76216,0.63064
0.7294,1.1247,0.73817
0.23135,0.95046,1.0287
0.72003,0.74209,0.71033
0.89659,0.60061,0.85826
0.78309,0.75658,0.67974
1.0186,0.79367,1.0276
0.97126,0.68895,0.75045
0.89754,0.90299,0.18942
0.63968,0.60127,0.64931
0.38311,0.43325,0.82069
1.0171,0.88268,0.88639
0.94197,0.77375,0.72348
0.59052,1.0205,0.66684
0.22819,0.83132,0.58509
0.72941,0.89504,0.80435
0.6963,0.71295,0.89244
0.77386,0.42626,0.67566
0.50538,0.69121,0.8717
0.75719,0.87203,0.65951
1.3747,0.65796,0.87824
0.36621,0.7802,0.87908
0.66752,0.56372,1.2103
0.77629,0.77765,0.77278
0.62899,0.80569,0.92451
0.9418,0.65968,0.78959
0.79756,0.80328,0.8655
0,0.81971,0.47567
0.71874,0.85305,0.82574
0.90437,0.53858,0.82989
0.71974,0.70155,0.69802
0.90758,0.69694,0.83152
1.0751,0.70656,0.56232
0.71419,0.83665,0.83451
0.8746,0.85649,0.87538
1.0486,0.45443,0.55254
0.97719,0.56489,0.62685
0.70828,0.85307,0.82422
0.72558,0.58908,0.71352
0.72631,0.90339,0.66413
0.67335,0.65339,0.75039
0.52328,1.0126,0.83518
0.76429,0.97151,0.84779
0.56385,1.081,0.56831
0.79295,0.81829,0.42758
0.83918,0.87173,0.98502
0.70987,0.62447,0.66628
0.85054,0.81254,0.7844
0.71224,0.84825,0.40084
0.49891,0.44438,0.78602
0.72382,0.88108,0.66938
0.72126,0.57314,0.84257
0,0.68269,0.85417
0.6942,0.74343,0.4267
0.8574,0.85678,0.73461
0.92333,0.66276,0.72872
1.0069,0.6836,0.74335
0.99538,0.7671,0.65401
0.75913,0.80764,0.8659
0.84293,0.53591,0.69836
0.5474,0.73668,1.0567
0.84759,0.65024,0.85375
0.9087,0.72968,0.85878
0.51849,0.7307,1.0226
0.94458,0.56412,0.72588
0.96076,0.63755,0.91254
0.50256,0.83722,0.9213
0.90508,0,0.6987
0.58343,0.41747,0.89957
0.72318,0.88587,0.93248
0.57306,1.0171,0.79578
0.80061,0.54607,0.82026
0.81472,0.66557,0.97319
0.8267,0.94183,0.82322
0.39262,0.9401,0.74249
0.74567,0.76373,0.72267
0.78209,0.81881,0.94969
0.82138,0.53613,0.63668
0.63823,0.96249,0.83339
0.5939,0.90691,0.91492
0.6218,0.93346,0.7719
0.78133,0.87284,0.84898
0.71934,0.77214,0.79384
0.86037,0.86123,0.76866
0.79391,0.61752,0.96367
0.74256,0.93591,0.5873
0.56971,0.94779,0.95676
0.83391,0.71209,0.74896
0.6251,0.51961,0.80719
0.8865,0.63312,0.92745
0.96609,0.9462,0.85162
0.60917,0.67004,0.72615
0.46828,0.71729,1.0025
0.96176,0.89252,0.76632
0.73662,0.93859,1.062
1.0409,0.74565,0.78746
0.63309,0.66536,0.4906
0,0.6219,0.66439
0.90944,1.036,0.57186
0.61733,0.79664,0.48695
0.81226,0.73781,0.89106
0.87696,0.68222,0.93968
0.84695,0.86677,0.70265
0.98287,0.70672,0.71617
0.6572,0.64865,0.7598
0.39987,0.9517,0.7155
0.7982,0.72498,0.83067
1.0005,0.8924,0.71911
1.1813,0.77913,0.84032
0.79481,0.39914,0.87451
0.8888,0.70764,0.69934
0.71806,0.89682,0.84622
0.7608,0.67994,0.74475
1.0284,1.0862,0.69617
0.67302,0.7443,1.07
0.71433,0.89178,0.72943
0.76448,0.94185,0.62188
1.2826,0.8945,0.88736
0.37405,0.85759,0.90515
0.87146,0.85016,0.80549
0.91867,0.76525,0.93839
0.64301,0.74461,0.82162
0.81063,0.94188,0.7449
0.84244,0.71024,0.68266
0.73568,0.94912,0.7918
0.59763,0.73159,0.75633
0.27911,0.68519,0.62176
0.73857,0.60923,0.79833
1.0011,1.1132,0.756
0.72144,0.79852,0.65757
0.94571,0.99384,0.81969
0.98432,0.96014,0.94566
0.95864,0.68625,0.82912
0.59193,0.57449,0.6617
0.80368,0.90858,0.86948
0.65533,0.74453,0.76533
0.55801,0.91611,0.60395
0.83554,0.77777,0.82928
0.75938,0.88442,0.75778
0.63185,0.80478,0.49615
1.2023,0.86717,0.87354
0.73621,0.88684,0.82802
0.73148,0.82452,0.80027
0.77707,0.65485,0.67309
0.80345,1.2632,0.63304
0.93584,0.70654,0.79142
0.69771,0.88199,0.82229
1.0296,0.78206,1.0735
0.60391,0.86823,0.78678
0.61686,0.81861,0.75556
1.0607,0.76594,0.87418
1.1111,0.56829,0.77527
0.64414,0.95569,0.53228
0.97465,0.83913,0.69921
0.77665,0.87798,0.90584
0.43316,0.71865,0.86091
1.3128,0.80348,0.70203
0.77937,0.77541,0.49669
0.73279,0.67632,0.84793
1.1215,0.75425,0.60883
0.5896,1.1373,0.65412
0.78783,1.2179,0.9196
0.48611,0.91961,0.70693
0.81761,0.45941,0.73872
0.71481,0.62246,0.5744
0.73793,0,0.69871
0.86515,0.72228,0.54379
0.2058,1.0625,0.69257
0,0.99291,0.9116
0.46849,0.79192,0.71856
0.79026,0.93955,0.77387
0.97688,0.95867,0.42457
0.74267,1.045,0.96464
0.76299,0.82574,0.78808
0.91228,0.8514,0.74683
0.67155,0.39616,0.58518
0.74556,0.73845,0.71757
0.96008,0.61095,0.97694
0,0.9076,0.96439
0.38868,0.69134,0.62169
1.1935,0.68775,0.6832
0.93346,0.7156,0.68874
0.59399,0.81695,0.8625
1.1019,0.73492,0.94711
0.57591,0.58983,0.5717
1.0336,0.67809,0.81521
0.63497,0.72574,0.81444
0.69938,0.87649,1.0207
0.80326,0.80127,0.74958
0.61887,1.1208,0.53131
0.68898,0.98555,0.7208
0.94399,0.8903,0.53913
0.86084,0.64922,0.89919
0.89947,0.90057,0.7021
0.69972,0.85997,0.51085
0.71156,0.72808,0.8196
0.70657,0.47932,0.8156
0.62509,0.98642,0.79022
0.92677,0.42044,0.74543
0.71549,0.59694,0.82478
0.5336,0.55899,0.81686
0.42175,0.7773,0.88802
0.89814,0.89594,0.90991
0.7521,0.78707,0.68448
0.83036,0.79763,0.60801
0.27143,0.87067,0.74536
0.88986,0.93829,0.86047
0.73443,0.49432,0.75925
0.80217,0.6867,0.73964
0.9882,0.85766,0.67304
0.93037,1.0063,0.7613
1.0431,0.60802,0.89393
0.78498,0.8879,0.82469
0.74741,0.69284,1.0167
0.74843,1.0129,0.68973
0.92609,0.75823,0.87551
1.2999,0.78718,0.74235
1.2228,0.70554,0.53271
0.64337,0.9273,0.85383
0.69912,0.76373,0.79644
0.93111,0.78303,0.70393
0.7847,0.84949,0.87398
0.4866,0.97109,0.86797
0.80041,0.79838,0.7604
0.56253,0.65301,0.5247
0.61631,0.63128,0.87396
0.93274,0.72159,0.8305
0.52937,0.75549,0.56342
0.92341,0.99555,0.41388
0.97804,0.82578,1.1456
0.33189,0.98786,0.86806
0.7557,0.78137,0.9469
0.765,0.78037,0.75771
0.69039,0.80933,0.47835
0.62529,0.70988,0.81536
0.77571,1.0929,0.81307
0.71508,0.66095,0.5393
0.65529,0.73973,0.65327
0.70897,0.44952,0.86325
0.6229,0.7537,0.7073
0,0.82988,0.60892
0.99431,0.9668,0.80119
0.69282,0.91918,0.58465
0.71038,0.52771,0.96568
0.71343,1.0448,0.89928
1.4142,0.71458,1.0785
0.73255,0.8083,0.66511
0.59617,1.0568,0.91098
0.85629,0.78056,1.1047
0.56337,0.83881,0.94005
0.79025,0.50115,0.70783
0.77159,0.73629,0.69859
0.73889,0.83474,0.60907
0.64743,0.95433,0.79085
0.37088,0.84592,0.80223
0.74076,0.80174,0.83589
0.93089,0.80924,0.70713
1.0509,1.272,0.50686
0.73375,1.0871,0.72973
0.62172,0.73094,0.69841
0.57494,0.72811,0.91729
0.9206,0.90755,0.97447
0.76884,0.39684,0.64582
1.0819,0.986,0.8206
0.7745,0.56414,0.71057
0.34002,0.74959,1.0039
0.93305,0.90699,0.71126
0.95027,0.60371,1.0439
0.6066,0.71435,0.67306
0.51135,0.74968,0.60797
0.9068,0.74075,0.70946
0.80223,0.55879,0.59255
0.58091,0.67817,0.60837
0.72899,0.62839,0.6268
0.80705,0.69674,0.79333
0.3527,0.58783,1.0165
0.73586,0.85939,1.1631
0.82779,0.73386,0.81543
0.87738,0.25842,0.55432
0.85902,0.49869,0.64293
1.0205,0.95132,0.7112
0.69765,1.0161,0.71005
0.9527,0.84266,0.68611
0.60352,0.86992,0.66775
0.18773,0.90449,0.85903
0.94313,0.75336,0.46011
0.81297,1.0175,0.6748
0.41773,0.86774,0.78948
0.71675,0.80418,0.76031
0.99103,0.55697,0.58292
0.82541,0.77773,0.69323
0.92009,1.0988,0.81675
0.66759,0.61961,0.80357
0.63488,0.64664,0.75008
0.64782,0.40647,0.80751
0.37211,1.1583,0.56602
0.73611,0.62465,0.65027
0.70491,0.68824,0.64917
1.0101,0.64682,0.85865
0.89142,0.71055,0.75967
0.85068,0.95674,0.69547
1.1166,0.60565,0.84111
0.69261,0.90056,0.65243
0.6222,0.80137,0.8456
0.85281,0.83977,0.77755
0.60921,0.90927,0.76271
1.0542,0.73833,0.4163
0.62702,0.55063,0.67356
0.71222,0.9177,0.63704
0.78878,0.59807,0.83023
0.74502,0.59999,0.54753
0.84189,0.85114,0.92738
0.9024,1.0921,0.93015
0.69087,0.59564,0.87436
0.83391,0.77043,0.83305
1.1338,0.79614,0.67371
0.78527,0.72866,0.88942
0.86937,1.0306,0.96028
0.53013,0.93654,0.72906
0.87077,0.93879,0.81213
0.39378,0.62773,0.68656
0.67914,1.0554,0.71726
0.62981,1.096,0.5954
0.83347,0.71819,0.9384
1.4142,0.7482,0.86921
0.97976,0.68706,0.99269
