Short, Interm., Long
0.29475,0.21771,0.26701
0.24932,0.17216,0.27561
0.28211,0.54298,0.20551
0.46888,0.3981,0.11933
0.36981,0.21793,0.12145
0.27441,0.14691,0.28168
0.22629,0.36088,0.14529
0.22203,0.49966,0.37982
0.36609,0.44329,0.16551
0.28364,0.27527,0.3375
0.30583,0.24773,0.26609
0.20111,0.40711,0.33121
0.2991,0.17437,0.30853
0.5613,0.59601,0.27955
0.36667,0.33963,0.22659
0.21846,0.36387,0.30759
0.53261,0.22154,0.23792
0.13204,0.39039,0.36913
0.17058,0.24836,0.23309
0.41733,0.18681,0.32514
0.37429,0.37283,0.20269
0.52765,0.30023,0.091026
0.3928,0.31143,0.23003
0.28764,0.28456,0.28021
0.29978,0.18659,0.43588
0.38651,0.26953,0.36167
0.25185,0.26915,0.35544
0.27806,0.23463,0.25578
0.38444,0.14255,0.24051
0.21582,0.22655,0.35084
0.23465,0.20745,0.21316
0.31916,0.31629,0.47307
0.23881,0.51345,0.28355
0.32918,0.29793,0.10973
0.49576,0.45425,0.32108
0.29865,0.24699,0.29466
0.28195,0.33228,0.19521
0.1986,0.43763,0.46557
0.43174,0.34936,0.32186
0.18257,0.41881,0.094919
0.23646,0.17903,0.40023
0.39259,0.2238,0.39025
0.51364,0.37623,0.19685
0.25965,0.43423,0.32511
0.21768,0.19363,0.24004
0.17481,0.36768,0.22365
0.66205,0.30411,0.21856
0.33713,0.51149,0.21987
0.28406,0.32173,0.39251
0.31835,0.40117,0.16811
0.32828,0.38093,0.27585
0.3326,0.25688,0.23373
0.15985,0.30868,0.1078
0.47732,0.23152,0.37649
0.31197,0.39141,0.21055
0.29296,0.54411,0.17975
0.21749,0.23739,0.33169
0.17551,0.33854,0.37748
0.62844,0.17037,0.34859
0.47809,0.3186,0.41928
0.42672,0.20362,0.22434
0.27418,0.2234,0.26168
0.52319,0.40219,0.25337
0.41403,0.16442,0.23133
0.21474,0.14946,0.27783
0.47282,0.1786,0.1237
0.3151,0.38937,0.26929
0.22903,0.39954,0.25005
0.36141,0.38049,0.34127
0.42564,0.25771,0.27007
0.31442,0.36987,0.24122
0.2764,0.33076,0.31762
0.32411,0.30261,0.30836
0.33446,0.38457,0.24884
0.42555,0.2584,0.14438
0.16625,0.33952,0.31817
0.38271,0.433,0.15623
0.14932,0.42552,0.2409
0.1724,0.23919,0.29508
0.34246,0.36402,0.15624
0.43464,0.28541,0.28471
0.67295,0.478,0.25855
0.24914,0.23745,0.33819
0.34769,0.40145,0.21265
0.25438,0.32039,0.29756
0.29586,0.26258,0.3181
0.3562,0.1146,0.29855
0.29215,0.31862,0.38083
0.38118,0.26069,0.32549
0.27372,0.28717,0.20125
0.34534,0.27291,0.4075
0.22956,0.39073,0.089122
0.59642,0.34879,0.31726
0.25975,0.44458,0.21564
0.1575,0.24193,0.47472
0.25772,0.1544,0.44894
0.42316,0.3148,0.25339
0.4361,0.35963,0.40984
0.40871,0.48048,0.14171
0.27841,0.3961,0.27079
0.35819,0.30733,0.29086
0.32039,0.332,0.20752
0.35782,0.31035,0.25246
0.3528,0.28499,0.28733
0.43018,0.45685,0.24542
0.12476,0.31978,0.273
0.19102,0.31615,0.23942
0.32142,0.27485,0.3477
0.37837,0.25911,0.26033
0.27414,0.31448,0.22314
0.31302,0.43597,0.23833
0.45237,0.1464,0.19922
0.13899,0.40805,0.26247
0.39075,0.35816,0.17762
0.42338,0.30684,0.34303
0.62482,0.42712,0.24047
0.2341,0.27728,0.3906
0.34881,0.30841,0.25564
0.64622,0.17441,0.37365
0.13263,0.28056,0.25048
0.33114,0.33516,0.31375
0.1621,0.36465,0.2115
