Short, Intermediate, Long
0.94172,0.81263,0.85864
0.94654,0.87162,0.91716
0.82575,0.84897,0.95648
0.71111,0.87188,0.90939
0.92372,0.89369,0.78991
0.8807,0.96865,0.8553
0.88981,0.94788,0.83905
0.90453,0.90647,0.92265
0.84251,0.96508,0.866
0.85343,0.7635,0.91824
0.98015,0.94364,0.89828
0.85406,0.87604,0.85995
0.85339,1.0116,0.92757
0.87507,0.92101,0.87968
0.82766,0.89412,1.002
1.027,0.88609,0.89906
0.82896,0.89173,0.95868
0.74215,1.0242,0.93864
0.86588,1.0303,0.90151
0.84961,0.96239,0.92999
0.95831,0.89296,0.93268
0.92361,1.0235,0.80152
0.89455,0.92727,0.9354
0.92181,1.0867,0.99159
0.99873,0.86787,0.82292
0.85662,0.98917,0.9807
0.90446,0.93185,0.91227
0.9274,0.80788,0.73893
0.81638,0.9732,0.81696
0.97963,0.81936,0.90075
0.85146,0.99817,0.87016
0.7308,0.7885,0.8874
0.72184,1.0531,0.94879
1.0025,0.9217,0.85738
0.88907,0.84283,0.9551
0.88666,0.95657,0.90226
0.85398,0.87897,0.84698
0.92708,0.75573,0.99005
0.79122,0.77682,0.94921
0.86095,0.85383,0.89296
0.77175,0.96985,0.84115
0.74251,1.0739,0.82976
0.91408,1.1513,0.84026
0.86448,0.84845,0.80008
0.80415,0.87622,0.95627
0.85652,0.72812,0.83731
0.93771,1.0407,0.84624
0.94017,0.8756,0.90636
0.9668,0.88733,0.82491
1.0607,0.88318,0.92514
0.75478,0.89382,0.87029
0.96647,0.97611,0.80903
0.80341,0.79108,0.8442
0.90316,0.86508,0.92489
0.98445,0.80866,1.0722
0.9615,0.93701,0.91532
0.95467,0.92937,0.82492
0.96013,0.95693,0.9024
1.0232,0.92889,1.0024
0.76341,0.98456,0.90554
0.82245,0.73773,0.96972
1.083,0.86279,0.92142
0.99997,0.89187,0.92871
0.90222,0.77286,0.90659
0.86291,0.89584,0.84706
0.76597,0.84862,0.80945
0.85155,0.88972,0.92664
0.9388,0.91631,0.87099
0.90759,0.902,0.84396
0.91282,0.73563,0.72658
0.96576,0.98991,0.86082
0.8609,0.83082,0.8918
0.79138,0.95051,0.94861
0.9834,0.90662,0.80746
0.93641,0.91759,0.78432
0.81353,0.98626,0.8507
0.79691,0.87995,0.80256
0.96573,0.92645,0.93762
0.91486,0.80938,0.76156
0.90289,1.0752,0.90797
0.9326,0.91112,0.87846
0.8752,0.77647,0.96905
0.88876,1.0272,0.82509
0.90338,0.94211,0.86872
0.83275,1.0263,0.93297
0.97728,0.96848,0.91781
0.91825,0.86761,0.89591
0.74297,0.83246,0.95701
0.96183,0.97126,0.91058
0.74318,0.92253,0.82795
0.79276,0.86224,1.0044
0.72395,0.83522,0.85737
0.92579,0.94377,0.91726
0.90184,0.79843,0.99497
1.0221,0.89189,0.93946
0.92922,0.95771,0.79055
0.89856,0.99751,0.99985
