Short, Interm., Long
-0.21853,0.11772,-0.27036
0.0073672,0.08207,0.62838
-0.74713,0.21323,-0.047387
0.81052,0.1046,0.074001
0.32707,0.14694,0.037122
-0.12092,0.25783,0.231
0.069045,0.049735,0.079704
-0.19798,0.73095,0.26844
0.42901,0.32567,-0.25188
-0.09484,0.087071,0.54558
-0.081757,0.18155,-0.25777
0.12033,-0.059179,0.38047
0.2428,-0.0014374,-0.12058
0.51963,0.11908,0.090535
-0.21306,-0.25353,-0.20416
-0.18808,0.11496,0.27458
-0.36487,0.3303,0.012253
-0.022922,0.015691,-0.31285
0.099228,0.14494,0.27946
0.0063182,0.16243,0.26292
0.37405,-0.096049,0.49494
0.68117,0.091782,0.028312
-0.32749,-0.29634,-0.15471
0.41102,-0.16141,0.0032978
0.054534,-0.11993,0.4809
0.097482,-0.06202,0.13598
-0.43048,0.16001,0.13267
0.15175,0.23199,-0.12944
-0.15016,0.17676,0.19112
-0.093832,-0.36592,0.035538
-0.027954,-0.30822,0.058003
-0.074224,0.21428,0.13717
-0.29659,0.20372,0.061761
-0.29854,0.14482,0.04019
-0.62269,0.15431,0.32765
-0.2613,-0.089921,0.085419
0.65928,0.034818,-0.005399
-0.22422,0.12486,0.36372
0.5617,0.23563,-0.12024
-0.18756,0.21856,0.17223
0.48063,-0.42274,0.42671
0.25424,0.11825,0.54161
-0.13532,0.49368,-0.13922
0.31575,0.11979,0.54146
0.10861,0.1915,-0.095602
0.12202,0.47185,-0.2775
0.99138,0.56375,-0.10687
0.20431,-0.36848,0.094298
-0.12715,0.17817,-0.27264
0.53434,0.16404,0.0072754
0.068402,0.075844,-0.18932
0.090731,-0.086247,-0.010178
0.13545,-0.061257,-0.094857
0.029348,-0.23573,0.1812
0.42862,-0.17899,0.13666
0.042198,-0.14638,0.24145
0.2081,0.095698,0.068465
-0.15677,0.31976,-0.2069
-0.18571,0.05346,-0.060507
-0.098191,-0.30919,0.28854
0.25577,0.20959,-0.20927
0.029928,-0.071805,-0.0022259
-0.056959,0.050174,0.15095
-0.32409,-0.0070798,0.2084
-0.40404,0.14128,-0.068259
0.092852,-0.18093,-0.20049
-0.080162,0.21443,0.39665
-0.24153,0.58849,-0.20321
-0.9368,0.38486,-0.13365
0.066153,0.037342,0.19667
-0.094485,0.25883,0.39811
-0.24473,-0.2046,-0.38271
0.23007,-0.050337,0.12482
-0.18677,0.20732,-0.041552
-0.12328,-0.21706,-0.21464
0.2082,0.38285,-0.29516
0.4153,0.43623,0.31407
-0.53159,-0.070077,0.34657
-0.076867,-0.066486,-0.055664
-0.13681,0.37587,-0.25968
0.75618,0.2451,0.35602
0.48271,0.2976,0.024161
0.069486,0.3786,0.21697
-0.18375,0.19571,-0.13698
0.54782,0.14088,-0.04371
-0.081529,0.3954,0.64446
1.085,0.17955,-0.015911
0.39094,0.33871,0.32631
-0.30672,0.63969,0.0076057
-0.38916,0.053884,-0.19874
-0.094499,-0.13927,-0.066894
