Short, Intermediate, Long
1.2624,0.14781,0.68747
1.4735,1.2318,0.7252
0.55237,0.61472,1.4073
-0.71973,0.68889,0.68351
1.2289,1.0089,0.031657
1.0348,1.3963,0.67729
1.1329,1.6567,0.30385
1.1216,0.76777,0.91751
0.68364,1.3412,0.67211
0.62307,-0.65166,1.1362
1.3715,1.0772,0.9793
0.51861,0.61965,0.86228
0.4549,1.3783,0.92659
0.44466,0.77697,0.99723
0.72077,0.8779,1.3761
1.6056,1.0959,0.68434
0.61041,0.9905,0.95119
-0.60459,1.6418,1.1773
0.38126,1.267,0.90162
0.59626,1.0556,1.3773
1.2915,1.1652,1.2819
0.80618,1.4951,0.11164
1.0077,1.1539,1.2209
0.96314,1.568,1.4147
1.6621,0.89469,0.31022
0.013746,1.451,1.5894
1.1125,1.4473,0.92792
1.6355,-0.19558,-0.78511
0.10232,1.4766,0.069715
1.4526,0.31542,0.7966
0.46374,1.4667,0.66421
-1.0065,-0.84954,0.95286
-1.3031,1.8053,1.2379
1.613,1.1791,0.53971
1.1632,0.45378,1.3651
0.41606,1.5756,0.87865
0.0069284,1.1081,0.54652
0.99265,-0.15794,1.5394
-0.31993,-0.56138,1.4293
0.73581,0.50257,0.85167
-0.17924,1.4877,0.43446
-0.38081,1.8243,0.40717
0.85336,2.1291,0.35212
0.73158,0.43114,0.44862
0.76272,1.1348,1.1961
0.76533,-1.1811,0.13789
0.83514,1.364,0.1674
1.3324,0.70666,0.78146
1.2941,0.90802,0.075159
1.212,0.96973,1.0607
-0.61485,0.8898,0.96807
1.5979,1.4981,0.20076
-0.13376,-0.1358,0.59999
1.2015,0.5197,0.87464
1.2241,0.39221,1.6401
1.5382,1.1301,0.89278
1.4947,0.99953,0.42116
1.3975,1.4216,0.89212
1.2629,1.1873,1.7191
-1.1179,1.6159,1.0468
0.36472,-0.9109,1.3858
1.6366,0.51068,0.97185
1.5398,0.6323,0.85652
0.69392,-0.70101,0.61793
0.64425,0.9202,0.33587
-0.81264,0.18504,0.088203
0.56166,0.92544,1.0778
1.187,1.2496,0.42121
0.82024,0.55408,0.8901
0.80094,-0.55926,0.22069
1.1733,1.3457,0.72633
0.81164,0.5038,1.223
-0.62879,1.2987,1.2365
1.3226,0.76011,0.46153
0.98183,0.74871,-0.52623
-0.32305,1.366,0.72432
-0.05989,0.94151,-0.10753
1.4927,1.0528,1.1849
0.98251,0.16449,-0.87691
1.1356,1.8005,0.80171
1.1162,1.1968,0.78047
0.68323,0.38239,1.4233
0.60404,1.5078,0.52453
0.60994,1.1855,0.6575
0.24483,1.8891,1.4178
1.2676,1.2228,1.0375
0.71728,0.77443,0.65911
-0.31773,0.34434,1.4021
1.5872,1.2839,1.1796
-0.80038,0.95995,0.051965
0.20004,0.21496,1.6938
-2.0338,0.76118,0.89392
0.9956,1.0114,0.93281
0.69609,-0.20868,1.607
1.3797,0.92384,0.98506
0.83924,0.93452,-0.17031
0.53533,1.4631,1.1782
0.719,0.95572,0.87059
0.61416,1.6848,1.2686
0.72787,1.1577,1.4691
0.38319,0.82437,1.9695
0.39263,-0.42667,-0.22477
1.7004,0.40451,0.66441
1.5664,0.11036,1.1358
-0.035777,1.5453,1.2761
0.57794,1.2077,0.77341
0.62859,0.8917,0.70785
0.72118,1.8257,0.49384
-0.38032,0.91192,-0.056022
0.19116,0.77353,1.0413
0.26807,0.79696,0.66989
0.20493,-0.28713,0.63994
0.91601,0.10152,0.22573
1.2679,1.3487,-0.397
-1.7419,1.3065,0.33411
1.6228,0.56887,0.93497
0.18759,1.368,0.2618
-0.31743,0.25989,0.93138
0.055903,1.4609,1.3378
0.80359,0.90399,0.66318
0.80052,0.78863,0.74398
-0.24879,1.0177,1.4447
1.0617,0.50873,1.1984
0.74599,0.75539,1.337
1.606,1.1842,0.89067
1.109,1.7526,-0.35654
1.447,-0.18224,0.4651
0.29664,0.79952,1.1425
1.0882,1.8279,0.76209
0.80834,0.99664,0.6435
1.2199,1.0276,0.26286
1.1808,1.6149,1.3145
0.88663,1.3992,0.61673
1.8857,1.0498,1.2443
1.5969,1.5474,0.5837
0.67611,1.2053,0.28359
1.2557,0.4419,1.2721
1.4555,1.5431,1.1172
1.9666,0.89779,0.88085
0.86772,0.33542,1.1867
1.5329,0.97088,0.53027
-0.22996,1.5823,1.4899
1.7106,1.0017,1.0328
0.9843,0.90571,1.4414
-0.81569,0.43894,0.93702
0.46165,0.069343,0.72293
-0.35477,0.041829,0.43362
0.40226,1.5144,0.93668
0.7933,1.6353,0.52464
-0.080895,0.77641,1.2751
0.084365,-0.22694,0.97283
0.76357,0.77928,-0.21505
1.7295,0.8568,0.78668
0.42512,1.1709,-0.050756
-0.15776,0.44794,0.77916
-0.048726,-0.54976,0.76503
1.1975,0.19881,1.0285
1.2371,1.5643,0.41223
1.4697,-0.34478,1.306
1.3791,1.0719,0.22048
1.0032,1.3567,0.81583
1.4304,1.2919,0.046503
-0.070698,0.10317,0.93334
0.98005,0.76257,0.77315
-1.1345,0.57932,1.2413
0.95836,1.8574,0.39513
1.935,0.93935,0.71787
0.62999,1.2022,1.0515
0.16765,1.3125,1.2316
0.90923,1.0524,0.62143
0.99571,0.66574,0.3582
0.33839,1.0861,0.1987
0.051492,1.5485,0.45273
0.8867,1.3368,-0.1258
0.95939,0.15793,0.90288
1.1599,-0.0051555,1.2078
0.1866,0.12117,1.1519
-0.24936,1.4574,0.25063
0.095333,0.7666,0.31139
0.11915,0.76917,1.9219
-0.039884,-0.024696,1.6868
0.21754,1.28,0.62744
1.3044,0.17834,0.68007
0.47176,1.0172,0.78536
1.268,0.74836,1.2044
1.3512,0.72137,0.59242
-0.033063,1.4839,1.1845
1.0318,1.1923,1.461
0.93612,0.27239,1.2441
0.56448,0.53361,-1.2121
-1.0379,0.71233,1.0023
0.72043,1.6987,0.0843
-0.45377,1.1391,0.68335
1.523,1.6766,-0.30408
1.8426,0.73803,0.83189
0.11246,-0.19924,0.48324
1.2431,0.81742,0.97362
1.8236,0.39664,1.6043
