Short, Intermediate, Long
0,0.31762,0.057814
0,0,0.36108
0,0,0
0,0.11271,0.59524
0.36116,0,0
0.2412,0,0
0,0,0.20237
0.41447,0,0.31826
0,0,0.23191
0,0,0
0.20708,0.095095,0
0,0.53169,0
0,0,0.58851
0.55522,0.38582,0
0,0,0.19743
0.20603,0.44757,0.60322
0,0,0.44565
0.39346,0,0.32285
0.62806,0.35976,0
0.38161,0.34291,0
0,0.27424,0.41289
0.27981,0.17845,0
0,0,0
0.52642,0.47631,0.35949
0,0,0.41536
0.65705,0,0.24192
0,0.11102,0.26156
0,0.67281,0
0.60659,0.36884,0.45348
0.29025,0.116,0.10768
0,0.30125,0.31555
0.4039,0.76963,0.21375
0.92406,0.088668,0
0.20186,0,0.46242
0,0,0.13595
0.29948,0,0.098516
0.6813,0.20938,0.52337
0.30153,0.36253,0
0.21578,0.28829,0
0.32474,0.18958,0
0.66777,0,0.62969
0,0.2631,0.4956
0.40915,0,0.49982
0,0.40468,0
0,0,0
0.019021,0,0
0.5931,0.38881,0.47029
0,0.47389,0.4893
0,0.06231,0.47232
0.48525,0,0
0.31793,0.5731,0
0,0,0
0.68887,0.62961,0
0,0.45918,0.54587
0,0,0
0.11033,0.39825,0.18476
0,0.39899,0
0.41891,0,0
0.3522,0,0
0.97368,0,0
0.59977,0.63569,0.30662
0.42726,0,0.34119
0.38429,0.62693,0.44995
0.55055,0.68361,0.71836
0.41393,0,0.44308
0.55207,0.72379,0.50512
0,0.41421,0.39526
0,0.33816,0.56393
0.48283,0.63153,0
0.48049,0,0
0,0.28347,0
0,0,0
0.56263,0.26175,0
0.44184,0.6021,0.27587
0.6952,0.60729,0.71535
0,0.12923,0
0.47169,0,0.66689
0,0.3385,0
0.16371,0.41827,0.729
0,0.15406,0.6206
0.26483,0,0
0.34329,0,0
0.65848,0.22987,0
0.64016,0,0.41478
0.32844,0,0
0.35425,0.21129,0.44794
0.55509,0.33788,0.47875
0,0.16396,0
0,0,0
0.74556,0.36723,0.66799
0,0.49531,0
1.018,0.38556,0
0.35423,0,0
0.57632,0,0
0.55951,0,0.58537
0.14016,0.41544,0.66281
0.76569,0.26019,0.44224
0,0,0.38286
0.51455,0,0.54658
0.51281,0.36081,0.37915
0.44459,0.42445,0
0.62628,0.38641,0.46192
0,0.67171,0.43356
0,0.58861,0.33206
0,0.41312,0.52439
0,0,0.33996
0.48003,0.11183,0.38896
0.44117,0.26074,0
0.36208,0.14576,0.67863
0,0.14819,0.23626
0,0.45216,0.43597
0.39972,0.30517,0.19015
0.40422,0.42059,0
0.55433,0.23918,0
0.99741,0.52133,0.46779
0,0,0
0.5738,0.30515,0
0.66955,0.42124,0
0.2841,0,0.5041
0.61363,0.20854,0.41266
0.62534,0,0
0.77127,0.40734,0.30871
0,0.60004,0
0.35542,0.18242,0
0,0.28163,0.3098
0.38543,0,0
0,0.68823,0
0.66749,0.39084,0.3629
0.52922,0,0.39601
0.62142,0.32491,0
0,0.5599,0.37635
0,0.17544,0.21683
0,0.13291,0
0,0.44708,0.18912
0,0,0.2682
0.38373,0.60259,0.4948
0.57048,0,0.17294
0.37352,0,0.40973
0.29738,0,0
0.63558,0.43078,0
0,0,0.62761
0.5141,0,0
0.4052,0.43282,0.16191
0,0,0.20687
0,0.59369,0.57512
0,0.54278,0
0.24287,0.53916,0.32049
0.44087,0.34512,0.59617
0,0,0.17167
0.67932,0.56781,0
0,0.42893,0
0,0,0.54401
0,0.61607,0
0,0.33724,0.58107
0,0.62093,0.32346
0.68995,0.38563,0.39521
0,0.28928,0.51731
0,0.34504,0
0,0.63352,0
0,0,0.75984
0,0,0.45756
0,0,0.17719
0.6666,0.59269,0
0,0,0.56257
0,0.52864,0
0.35535,0.22972,0.41744
0.1726,0.4414,0.50885
0,0,0
0.33133,0.17825,0.44287
0.61567,0.41351,0.605
0,0.38638,0.51444
0.19629,0.32951,0.47175
0.88288,0.34293,0.37949
0,0,0.74695
0.44091,0.6115,0.47267
0.61369,0.19934,0
0.46241,0.21169,0
0.62061,0,0.35897
0.39632,0,0.44967
0.34062,0,0
0.21479,0,0
0.46729,0.22329,0
0.42889,0,0.19788
0.41915,0.32887,0.18093
0,0,0.1632
0,0,0.32136
0,0,0
0.24554,0.38164,0
0,0.50717,0.31857
0.61265,0,0.73961
0,0.4117,0.34593
0.22873,0.39482,0.52314
0.53125,0.18206,0.59355
0.34524,0.48179,0.5146
0,0.66683,0.28275
0.50988,0,0.45173
0,0.20365,0.26355
0,0.28057,0.41237
0,0.59647,0
0,0,0.40114
0.40632,0,0
0,0.51537,0.44627
0,0,0.61981
0,0.25266,0.18114
0,0.49753,0.40557
0,0,0.54769
0,0.54536,0.56172
0,0,0
0,0.12963,0.79812
0.36009,0.70636,0
0.25317,0,0.55373
