Short, Intermediate, Long
0.92155,0.8728,0.81405
0.8582,0.90464,0.88937
0.9176,0.91845,0.75954
0.80244,0.82556,0.84297
0.87954,0.8749,0.81965
0.84087,0.77591,0.86275
0.58006,0.87469,0.87686
0.89863,0.91314,0.95114
0.91468,0.82105,0.74539
0.88569,0.80606,0.93132
0.79693,0.84719,0.92183
0.92559,0.82786,0.87839
0.88547,0.85398,0.85713
0.77798,0.84014,0.8159
0.80297,0.8443,0.95608
0.8696,0.79061,0.74262
0.91329,0.87065,0.83687
0.85364,0.77404,0.88851
0.97029,0.97968,0.96692
0.79083,0.84607,0.87668
0.87178,0.88449,0.83874
0.74386,0.93094,0.9605
0.9193,0.75039,0.75864
0.77826,1.0013,0.86866
0.7862,0.80318,0.88797
0.85643,0.89317,0.88824
0.91115,0.89286,0.92916
0.99417,0.87281,0.79858
0.86363,0.68883,0.87252
0.89483,0.96811,0.89854
0.91722,0.83677,0.86309
0.90844,0.88184,0.85207
0.779,0.82377,0.86693
0.8431,0.86806,0.84372
0.86604,0.82895,0.92977
0.87052,0.70636,0.88227
0.82768,0.89652,0.79916
0.90828,0.82924,0.87284
0.85156,0.94084,0.86365
0.80306,0.86545,0.79725
0.91144,0.88443,0.80924
0.80737,0.94398,0.93855
0.92802,0.8891,0.87857
0.96848,0.75876,0.81257
0.83048,0.81807,0.80802
0.86105,0.8701,0.91906
0.65813,0.93344,0.84591
0.92361,0.86742,0.8186
0.66137,0.83598,0.81523
0.87947,0.88305,0.87422
0.9779,0.90757,0.86951
0.85951,0.85818,0.78084
0.74366,0.94141,0.77506
0.87209,0.79887,0.86162
0.8398,0.85154,0.85783
0.95769,0.61568,1.0135
0.95978,0.92687,0.87741
0.84442,0.90115,0.75939
0.82007,0.63268,0.84897
0.96915,0.89213,0.81351
0.87637,0.82895,0.87131
0.93685,0.83523,0.88302
0.83947,0.90243,0.79274
0.89138,0.94842,0.96265
0.74383,0.84724,0.90064
0.91897,0.92029,0.91808
0.82699,0.77876,0.95084
0.72665,0.92834,0.73588
0.8473,0.67129,0.86713
0.92408,0.855,0.87143
0.96609,0.84432,0.88446
0.93196,0.87061,0.92852
0.8703,0.75836,0.91538
0.84019,0.81551,0.82191
0.90368,0.80981,0.93688
0.78841,0.76153,0.87116
0.82652,0.93961,0.8838
0.92517,0.86569,0.8971
1.0182,0.8376,0.80362
0.79273,0.83634,0.82482
0.89569,0.81201,0.82687
0.79939,0.96154,0.92717
0.83503,0.93329,0.87871
0.97364,0.82836,0.88095
