Short, Intermediate, Long
0.74051,0.81548,0.79627
0.90206,0.85074,0.81989
0.80011,0.7686,0.84873
0.94868,0.8159,0.75426
0.79152,0.74491,0.86863
0.90969,0.84506,0.88629
0.84664,0.79439,0.80306
0.86233,0.81809,0.64712
0.93254,0.8577,0.75022
0.87123,0.8134,0.82715
0.91139,0.82577,0.73227
0.85908,0.81748,0.81514
0.83751,0.75614,0.80746
0.89764,0.76193,0.84325
0.91236,0.91036,0.73382
0.82929,0.9442,0.83294
0.83885,0.86104,0.79551
0.80532,0.99237,0.75008
0.80355,0.66329,0.6163
0.79698,0.76317,0.88548
0.75551,0.81745,0.84847
0.76817,0.93167,0.74143
0.81926,0.94547,0.8619
0.9443,0.80373,0.77435
0.94672,0.85609,0.81379
0.7443,0.82531,0.7072
0.8103,0.85689,0.78201
0.84091,0.71742,0.78061
0.81929,0.83956,0.79737
0.84102,0.7333,0.79562
0.79917,0.98841,0.94512
0.90847,0.86929,0.79833
0.84334,0.81927,0.82119
0.78044,0.80609,0.85297
0.79338,0.8944,0.85919
0.77519,0.77647,0.7908
0.82342,0.79138,0.90496
0.79757,0.85492,0.84375
0.73707,0.73501,0.76231
0.92521,0.69895,0.90667
0.70893,0.81937,0.85431
1.0215,0.8208,0.76733
0.79274,0.84143,0.79752
0.71101,0.89095,0.9595
0.83154,0.8741,0.83193
0.83372,0.89663,0.83506
0.79736,0.76624,0.82786
0.88196,0.91603,0.85066
0.90933,0.84265,0.84197
0.81225,0.80564,0.97787
0.85029,0.86377,0.87009
0.82551,0.78418,0.82605
0.9157,0.77848,0.81801
0.90607,0.86787,0.77792
0.91289,0.90286,0.88765
0.84316,0.87406,0.78426
0.75494,0.81889,0.82314
0.8983,0.95327,0.95711
0.87533,0.82649,0.80785
0.73226,0.84273,0.96249
0.88053,0.92687,0.84816
0.82641,0.92225,0.80213
0.86756,0.8305,0.93479
0.84721,0.80131,0.66318
0.86064,0.84035,0.79177
0.89692,0.90026,0.79563
0.88936,0.69225,0.72441
0.7545,0.70492,0.9871
0.78104,0.87885,0.81447
0.74349,0.78506,0.74046
0.91155,0.94181,0.80502
0.76768,0.80198,0.71346
0.75864,0.89212,0.86073
0.80133,0.78803,0.864
0.79975,0.84456,0.89099
0.83717,1.0303,0.7842
0.92445,0.76904,0.83241
0.77579,0.75865,0.86663
0.65671,0.91934,0.82162
0.94355,0.90125,0.82154
0.87617,0.91112,0.84138
0.91329,0.86064,0.71738
0.94417,0.83265,0.7948
0.81476,0.9076,0.85234
0.88969,0.88632,0.77259
0.88242,0.82416,0.75719
0.90131,0.81779,0.79338
0.82471,0.78654,0.93356
0.84705,0.84364,0.90978
0.90274,0.80659,0.89046
0.95734,0.88917,0.81868
0.83623,0.81332,0.803
0.93681,0.95099,0.81988
0.75288,0.73147,0.76195
0.91259,0.82992,0.85306
0.77989,0.66016,0.77689
0.93927,0.73394,0.74135
0.84652,0.85716,0.78267
0.82496,0.65523,0.872
0.77882,0.88688,0.84974
