Short, Interm., Long
0.89517,1.6831,2.6989
2.2479,0.55499,1.5607
1.742,1.3017,1.5383
1.1874,0.67763,1.8137
0.88394,1.7379,1.7279
2.11,1.2155,0.98766
1.1456,0.84621,0.76443
1.4195,1.2827,1.8147
0.90583,1.4934,1.5007
1.2446,1.3185,2.0964
0.97052,1.3083,1.0943
0.67587,1.8974,1.549
1.3491,3.1349,1.6811
0.94214,1.309,1.6347
2.0616,1.8136,1.4082
1.0564,2.3086,1.2569
1.3345,1.3826,1.1712
1.8833,0.66093,0.4704
0.87099,1.1294,1.1173
0.54404,0.67956,1.7381
0.77941,0.73233,2.0527
2.1311,1.9467,1.2546
0.75119,0.70276,1.3878
1.2973,0.99843,1.0758
0.033519,1.3977,0.70318
1.3841,0.94322,1.0019
1.7628,1.6859,0.94098
1.9656,2.5432,1.6389
1.8172,0.95818,1.0207
1.1325,1.4703,1.7918
1.2066,0.99421,2.2153
1.2991,2.1024,1.4158
0.44587,1.3773,1.299
1.3479,0.42397,1.7883
1.0332,1.1938,0.96778
1.1608,2.2207,0.86311
0.44296,1.4059,1.2235
1.0561,1.1104,0.97768
0.69696,2.8301,1.1234
2.9917,0.95812,1.3413
0.79734,1.1753,1.2935
1.2395,1.1627,2.1337
2.2693,1.0618,1.2664
1.5522,2.2589,1.7828
1.231,1.5654,1.1004
2.9585,1.2292,1.1849
0.54857,2.0328,1.1356
2.8062,1.4763,1.467
1.1817,1.3937,0.95495
1.2719,1.3796,1.3132
0.95467,0.62682,1.3561
0.71877,1.7909,1.3058
0.94593,0.69623,1.5063
0.7881,1.3756,0.80645
1.0866,1.7005,1.5274
1.8961,1.0676,2.5756
1.3587,1.7303,0.84093
1.5396,1.5886,1.4866
1.3452,1.2344,0.92084
1.1408,1.2502,1.6712
0.62149,2.2225,1.1395
0.9882,2.4356,2.0998
1.5258,1.317,1.2099
2.5319,1.4796,1.5228
1.0774,1.712,1.8016
1.8203,1.2257,1.8423
1.6059,1.9332,1.8316
0.85661,0.89786,1.3015
1.6264,2.9499,0.99707
0.11007,1.0996,1.0796
1.2587,3.1759,1.2308
0.80148,1.2585,0.61862
1.1786,1.125,1.373
2.6736,2.0708,1.3259
2.0902,2.3876,1.2625
0.78879,1.4263,0.81791
1.8682,1.8419,1.4075
1.66,1.6498,1.2373
1.2594,1.1268,1.0224
1.2871,1.0884,0.99829
1.7623,1.6392,0.91762
2.8074,1.8926,1.828
1.2678,1.8016,1.173
2.0522,0.93042,1.2884
0.40747,1.1778,1.141
0.98527,0.98482,1.3881
1.1045,0.91619,0.38879
0.55235,1.418,1.1569
1.8902,0.92479,1.1998
0.9194,1.7025,1.1712
-0.064392,1.1796,1.439
1.5216,1.3344,1.7277
1.2482,2.6107,1.4688
1.157,1.5796,0.58469
1.5902,1.3998,1.0827
0.77493,0.3717,1.4215
1.6692,1.0617,1.073
1.2694,2.3694,1.1557
1.2351,1.0436,1.9483
2.0554,0.66677,1.4166
0.63251,1.5314,1.2157
1.6349,1.3147,2.1344
0.70474,1.0716,0.91153
0.1317,1.6086,2.1294
0.75592,2.6766,0.91417
2.3614,1.2216,1.179
1.2662,1.5295,1.0131
1.1551,1.7273,1.9188
0.85318,0.14732,1.2314
1.7464,2.3027,1.0428
0.55256,2.8379,1.3925
1.379,1.9289,1.0822
1.0089,1.2897,0.8261
1.9951,0.52142,0.45311
0.79256,1.0243,1.6135
1.7756,1.449,1.8028
2.8556,1.2112,1.1153
1.2945,1.5584,1.2723
1.5849,2.526,1.2145
1.275,1.2054,1.6796
1.2173,1.7732,1.7725
0.80866,1.669,1.352
1.4246,1.7366,1.3203
0.59916,0.53668,1.1811
0.50098,1.6741,1.2426
1.2433,1.7108,0.91181
1.0385,1.0605,1.4833
1.1412,0.99694,0.99227
1.6924,1.6758,1.203
1.369,1.6029,0.84868
2.0753,1.4319,1.9318
1.9711,0.60496,1.719
0.94959,1.2247,0.67644
1.8593,2.0277,1.9735
1.8704,1.7363,1.6068
0.74189,2.8671,1.7391
1.1503,0.52843,0.75797
2.8271,0.75424,1.0704
1.7239,1.6673,1.645
1.4143,2.1221,1.5148
1.6314,2.5253,1.7201
2.7747,0.88306,1.7646
1.461,2.3541,0.74391
0.90831,1.9187,0.8482
1.6707,2.5133,1.5912
1.8368,3.0376,0.96519
1.4342,1.4339,1.4595
0.8929,1.2976,1.0795
1.7536,0.7262,1.1095
1.7857,0.94593,1.5343
0.28674,0.87739,1.8614
2.3362,1.3108,1.9547
1.0767,1.7292,1.2839
0.783,1.0205,1.4837
0.97144,2.4427,0.82005
0.84279,0.70944,0.83117
0.93453,1.8973,1.2923
1.6173,1.7338,1.0249
1.0808,2.1554,1.3157
1.587,2.7298,1.6508
1.1468,1.0911,0.98502
1.2229,1.8262,1.0921
2.39,1.7161,1.8516
1.4677,1.3544,1.2403
2.0478,1.9312,1.381
1.196,1.5705,1.5614
1.143,3.3155,0.59075
1.4754,1.1963,1.0605
1.9434,0.62796,1.0215
0.76415,1.5184,1.3891
0.53125,1.321,1.6605
1.3222,1.7206,1.0512
0.81588,0.86806,0.79644
0.93512,1.0352,0.54368
2.1814,1.9629,1.3561
0.72148,1.1976,1.4232
0.95199,2.4635,1.0407
1.2934,1.9153,1.1184
0.22121,0.89989,1.7182
0.61978,1.5258,0.64058
0.9448,0.61134,1.9567
1.6039,1.4373,1.434
0.99896,1.3888,1.9867
1.3139,1.6964,0.84131
1.1335,0.60856,1.5529
