Short, Intermediate, Long
-1.0807,-0.72907,-0.4065
0.78721,0.17977,-0.28852
0.1858,-0.063591,-0.055838
0.88371,-0.26768,-0.67937
0.1273,-0.90901,0.54576
0.70624,0.076981,0.73435
0.15214,-0.49777,-0.18359
0.40312,0.34213,-3.3945
0.98915,0.2471,-0.99936
0.56566,-0.15093,0.36653
0.88101,-0.1954,-0.85736
0.66445,0.19287,-0.033644
0.23622,-0.66964,-0.0032849
0.82619,-0.48018,0.47881
0.8135,0.81302,-1.396
0.39058,0.95609,0.21882
0.44671,0.40802,-0.25272
-0.50851,1.4537,-0.78885
0.26951,-3.1834,-3.7813
-0.34067,-0.80031,0.51272
-0.49213,0.55133,-0.23056
-0.088543,1.0031,-1.2651
0.56508,1.0845,0.57795
1.2036,-0.27734,-0.61811
0.5682,0.25736,0.11795
-1.2406,-0.32607,-1.738
0.54778,0.41699,-0.34383
0.57568,-1.6359,-0.23094
0.13486,-0.1709,-0.2315
0.11218,-1.0021,-0.38828
-0.43714,1.0912,0.99452
0.87161,0.57775,-0.26836
-0.20174,-0.10122,0.29361
-0.5234,0.13329,0.047462
-0.47682,0.63633,0.53054
-1.1944,-0.47206,-0.37623
0.0078679,-0.28518,0.6778
0.41834,0.37782,-0.0011846
-1.2714,-0.61689,-0.11817
0.8607,-1.7654,0.33605
-1.7085,0.13377,0.057829
1.4983,-0.0028636,-0.84253
0.17475,0.19699,-0.13215
-1.2183,0.21467,1.1438
0.54957,0.3879,0.1515
-0.21315,0.74058,0.074237
-0.40855,-1.2292,-0.19716
0.44261,1.0311,0.39092
0.83254,0.3962,0.28979
0.25871,-0.013493,1.3279
0.86766,0.40011,0.50579
-0.036815,-0.3393,-0.088457
0.79002,-1.2118,0.22994
0.94971,0.59452,-0.59585
0.36737,0.79107,0.82736
0.28973,0.24827,-0.058323
-1.5091,0.061784,-0.11811
0.87843,1.009,0.87215
-0.13001,0.52999,0.15064
-1.2874,-0.073334,0.89939
0.64123,0.73263,0.21475
-0.045453,0.45758,-0.42487
0.87479,0.086795,0.92857
0.7044,-0.22701,-2.4747
0.35773,0.49344,-0.1485
1.1538,0.6416,-0.21158
0.47484,-2.3394,-0.80933
-0.58621,-1.8324,1.4355
-1.0251,0.5794,0.46432
-0.86259,-0.54071,-1.1587
1.2899,1.1398,-0.053002
-0.73415,-0.048061,-1.7292
-0.91193,0.57158,0.56578
-0.93906,0.15084,0.2398
-0.42922,0.084637,1.0136
0.21228,1.2303,-0.31171
1.3064,-0.45173,0.060669
-0.32944,-0.30576,0.25032
-2.5009,1.1884,-0.092335
0.82945,0.2904,0.10606
0.93953,1.0587,0.26288
0.92514,0.82901,-1.7015
0.9525,0.20929,-0.17997
0.069709,0.61414,0.42353
0.89958,0.36333,-0.25866
0.44559,-0.034253,-1.0393
0.83364,0.075547,-0.087777
0.21187,-0.23961,0.96499
0.3593,0.62863,0.84737
0.8201,-0.26237,0.56739
0.95647,0.73941,-0.056119
0.65253,0.16183,0.096688
1.1664,1.2158,-0.21635
-0.58035,-1.4968,-1.034
0.65489,0.18387,0.62338
-0.78451,-3.1897,-0.49401
0.88347,-1.2025,-0.71746
0.080099,0.60259,-0.56378
-0.21158,-3.648,0.92949
-0.17523,1.0271,0.32045
0.46524,-0.5184,0.56033
-0.48451,0.96447,-1.3765
-1.002,0.59062,0.28831
0.38976,0.10185,-0.18835
0.054517,0.46278,-0.065212
0.69547,-0.098112,0.80453
0.9441,-1.9411,-1.301
0.72633,0.27491,0.60708
0.50787,-0.79378,-0.96
1.2059,-1.8852,1.0293
0.73398,0.62325,0.055068
-0.25765,1.0357,-0.81876
-1.0264,0.48793,0.87393
0.63207,-0.084881,0.71734
1.4032,0.99136,0.59101
-0.41462,0.73634,-1.1922
0.077743,0.2542,-0.85398
0.64343,-1.3926,-0.10044
0.16994,0.89013,0.10586
0.94735,-0.3292,0.79529
1.1153,0.61072,0.4329
0.89279,0.80652,0.39025
-0.29956,0.030113,0.04582
0.92411,0.97747,0.36032
-0.28941,0.94802,0.65155
0.26129,-0.0034063,0.10129
0.77492,-0.27952,0.63685
0.54886,0.3796,-2.0511
-9.6636,1.1397,0.11861
-0.12738,0.13604,0.30614
0.29064,-0.11065,0.93564
0.066346,-0.22645,0.38517
1.6451,0.40589,-0.41605
0.052894,-0.1842,0.88335
1.0877,0.9413,0.54972
-0.076537,-0.43006,0.2595
1.2561,-0.45889,-2.6119
0.17328,0.90708,0.64347
1.1549,-1.9177,0.1496
-1.0631,0.20772,-0.15941
-0.35608,-0.54252,0.20867
-0.016279,0.39573,0.15398
1.1877,-0.72465,0.068891
-0.40206,0.70108,0.20986
-0.20897,-0.095281,0.17405
-1.5593,-0.10086,1.0454
-0.07436,-1.8998,-0.59995
0.60624,1.213,0.2692
-1.1204,0.094186,0.4144
-0.30805,0.23334,-0.50344
-1.4477,0.87285,-0.8696
0.9428,0.23889,1.0371
0.51546,-0.76016,-0.82345
-0.84239,1.3725,-1.9958
1.0167,1.1429,-1.7852
-1.1153,1.5381,0.53809
-2.107,1.3198,0.23512
-0.18275,1.1498,0.90963
0.086267,-0.11818,-0.83414
-0.92724,0.17722,0.57718
0.66188,0.99177,0.90948
0.97168,-0.78846,0.54581
0.0050058,0.032198,-0.95101
0.63604,0.99585,-0.33998
-0.13249,-0.39242,0.81563
-0.18935,0.97178,0.062678
-0.93657,-0.86751,0.12397
1.0185,0.68904,0.12087
-0.072077,0.6648,1.2797
-1.6039,0.62697,0.65563
-0.032946,-0.88414,0.74082
0.33477,-1.0519,0.69461
-0.5819,0.0015351,0.7714
0.33952,0.95612,0.057626
-0.29438,-1.0797,0.79657
1.0575,0.29561,0.5948
-2.2878,-0.24586,0.74181
-1.2509,0.54656,1.219
0.67024,0.094587,0.14823
0.097784,-0.70708,-0.019258
0.23803,-1.9937,0.29176
0.35199,-0.74402,1.2846
0.67452,0.8963,0.16581
0.58195,1.0266,-0.52719
1.0015,0.8556,-0.54764
0.25506,0.00032038,0.81391
0.13946,0.89545,-0.3104
-0.63678,0.51459,-0.15713
-0.0762,-0.35169,-0.33822
-0.96866,0.35052,-0.2319
0.017036,0.40732,0.10319
0.01192,0.38791,0.22521
-1.4382,0.075854,0.38723
0.17829,0.20871,1.2709
0.63878,0.9525,0.57675
1.2182,0.78717,0.015003
-0.042609,0.17822,-0.29244
0.34472,0.45807,0.097897
0.98132,-0.81698,-0.37124
0.11029,-0.049081,1.2813
1.3056,-0.22706,0.11883
0.69305,-2.0313,-0.82259
0.17479,-0.17494,-0.25911
0.13977,1.3181,0.39095
1.3295,1.1172,0.76065
1.574,1.0884,0.43306
1.0954,0.81929,-0.5801
-0.87373,0.23179,-0.065346
0.019689,0.49523,-2.0296
0.89173,-0.068046,-0.049395
0.60401,-0.29531,0.99292
0.58798,0.65697,-0.55823
0.28785,0.83145,0.029787
0.8548,-0.90787,0.056147
1.205,-0.0077507,0.84885
0.017884,-0.10841,0.58601
-0.26826,-2.0548,1.2233
-0.88446,0.41067,0.49335
-0.15314,0.35397,-0.020436
-1.8843,-0.034183,-1.244
