Short, Interm., Long
0.82898,0.90833,0.96893
1.0348,0.5943,0.91934
0.88304,0.91595,0.8702
0.87984,0.68111,0.95291
0.79737,1.0229,0.98478
0.99043,0.84315,0.80361
0.80179,0.77942,0.70723
0.92755,0.87083,0.97822
0.85683,0.9477,0.85803
0.85095,1.0224,0.98337
0.7592,0.86176,0.83574
0.68663,1.1008,0.89075
0.85161,1.1001,0.92017
0.87941,0.83853,0.96985
1.0178,0.91757,0.90413
1.1707,0.96323,0.87538
0.83914,0.86393,0.88791
1.058,0.66528,0.59274
0.77481,0.8441,0.77601
0.6514,0.83411,0.86504
0.6986,0.67463,1.0062
1.0079,0.94144,0.79107
0.69632,0.7684,0.86338
0.82131,0.81286,0.78399
0.16794,0.86749,0.70382
0.87306,0.87235,0.83994
0.96441,0.93304,0.84506
0.92912,1.031,0.93414
0.98389,0.73447,0.79903
0.825,0.84817,1.0499
0.83171,0.81864,0.95877
0.82898,0.98971,0.87583
0.58026,0.81687,0.86609
0.90903,0.58484,0.90482
0.79747,1.0263,0.79287
0.90478,1.4142,0.86391
0.67316,0.83828,0.87273
0.77917,0.83141,0.75924
0.63078,1.1712,0.84037
1.1398,0.81376,1.0135
0.75536,0.82468,0.85673
0.82448,0.81862,1.0432
1.0691,0.79989,0.93648
0.89683,0.98989,0.96675
0.93095,0.97431,0.78801
1.0382,0.85617,0.80784
0.75899,0.99608,0.79801
1.0221,0.86659,0.85503
0.82369,0.84613,0.82423
0.96532,0.9068,0.81114
0.77117,0.61686,1.0894
0.80265,0.91037,0.8411
0.72683,0.72856,0.9307
0.78927,0.86982,0.83718
0.76942,0.91719,1.1189
0.93465,0.83358,1.0008
0.83717,0.93782,0.7702
0.92014,0.83858,0.86912
0.94704,1.0104,0.77754
0.87128,0.78835,0.94859
0.67434,1.0499,0.76468
0.79757,0.97268,1.0242
0.86345,0.84113,0.8225
1.1359,0.89034,0.87207
0.79753,0.9778,0.93314
0.95038,0.89511,0.95679
0.89264,0.94328,0.93966
0.75308,0.81337,0.8667
0.93623,1.3116,0.78256
0.33728,0.78522,0.79519
0.88192,1.0473,0.85405
0.67688,0.90144,0.69456
0.76514,0.78836,0.83793
1.0211,0.93941,0.84539
0.97414,1.0153,0.9148
0.71782,0.91701,0.73778
0.93226,0.98605,0.83986
0.93512,0.93328,0.79294
0.82083,0.82631,0.80303
0.81903,0.81309,0.78393
1.0143,0.91585,0.75
1.1606,0.95301,0.96693
0.94231,0.98794,0.90597
1.1339,0.74001,0.90354
0.58322,0.82296,0.78985
0.74571,0.82494,0.89604
0.84897,0.80524,0.51241
0.60932,0.88103,0.89829
1.2626,0.77765,0.81643
0.79346,0.91978,0.93753
0,0.84862,0.90825
0.91574,0.9283,0.92291
0.96518,1.0556,0.8995
0.79555,0.93639,0.71524
0.86817,0.82836,0.8375
0.70316,0.53465,0.86347
0.9006,0.81263,0.88058
0.90596,1.0505,0.89499
0.82173,0.75734,1.0172
0.99445,0.74675,0.86767
0.79377,0.90819,0.79853
0.97801,0.8372,0.96196
0.75513,0.87889,0.72498
0.35013,0.9604,0.98287
0.68837,1.3012,0.81301
1.0619,0.84465,0.8912
0.87618,0.91278,0.80107
0.79486,0.93524,1.0121
0.71944,0.33743,0.80651
0.94211,0.94588,0.80766
0.67597,1.0795,0.96973
0.94115,0.98508,0.87299
0.77436,0.93231,0.70078
1.0054,0.60479,0.5937
0.84512,0.86502,0.98616
1.0132,0.83952,0.98774
1.1515,0.84693,0.80732
0.91718,0.93003,0.87191
0.92779,1.1292,0.83924
0.9854,0.82241,0.91553
0.79163,1.0393,0.96631
0.75658,0.9498,0.95068
0.86712,0.94125,0.84584
0.76668,0.63122,0.82082
0.94929,0.90116,0.83633
0.88722,0.91501,0.82733
0.89952,0.75118,0.87737
0.83939,0.72844,0.74274
0.87245,0.91652,0.81226
0.89199,0.96174,0.83598
0.99586,0.84496,0.96199
0.99249,0.73524,0.95649
0.73186,0.85111,0.6586
0.94262,0.99637,0.99436
0.98884,0.8657,0.91103
0.78133,1.1914,1.0655
0.89605,0.65033,0.80977
1.0996,0.75616,0.82891
0.92423,1.0716,0.92766
0.88186,1.0483,0.89668
0.91807,1.0971,1.029
1.0879,0.73086,1.0262
0.89487,0.97515,0.68341
0.73954,1.0099,0.79416
0.87402,1.0182,0.91681
1.0059,1.1528,0.87273
0.92605,0.84421,0.85401
0.8005,1.1062,0.78893
0.9997,0.70171,0.83451
0.99594,0.76403,0.86561
0.49013,0.76311,0.94256
0.9518,0.85681,0.94165
0.87811,0.98532,0.93419
0.75332,0.78503,0.89616
0.76682,1.3185,0.72408
0.76093,0.86935,0.73209
0.80254,1.4142,0.83048
0.88282,1.043,0.77357
0.87638,0.93663,0.87202
0.83976,1.0631,0.90739
0.80254,0.83596,0.74463
0.84346,1.0014,0.84632
0.94659,0.89152,0.94637
0.88886,0.92997,0.84608
