LPS, LS, LP, PS, LPSLow, LSLow
0.22889,0.2777,0.13439,0.46901,0.30703,0.40977
0.10464,0.27507,0.087271,0.40107,0.19343,0.21052
0.26878,0.23263,0.24635,0.45519,0.23133,0.19839
0.31701,0.22287,0.29773,0.34949,0.31798,0.16808
0.30957,0.47772,0.18832,0.63167,0.33997,0.25611
0.20309,0.44288,0.27032,0.51629,0.21076,0.36586
0.27519,0.25902,0.21137,0.47062,0.32827,0.24668
0.21699,0.5494,0.3262,0.39371,0.20971,0.43108
0.19239,0.27471,0.18616,0.5652,0.16408,0.38751
0.18896,0.52367,0.29215,0.41459,0.17585,0.23206
0.19003,0.37964,0.20867,0.56356,0.26772,0.31312
0.26568,0.33893,0.2687,0.3148,0.087316,0.21225
0.2294,0.26216,0.24884,0.6325,0.24312,0.40699
0.34469,0.36003,0.13902,0.2305,0.21217,0.38725
0.37779,0.38437,0.28342,0.3118,0.14698,0.39027
0.35758,0.32226,0.16339,0.56855,0.25278,0.30717
0.11619,0.23563,0.23044,0.59673,0.14945,0.35201
0.11003,0.43665,0.19062,0.60281,0.25776,0.33111
0.097938,0.32002,0.202,0.47707,0.18711,0.26438
0.18404,0.31565,0.15996,0.34295,0.28312,0.13993
0.28963,0.40758,0.31495,0.28582,0.18603,0.35694
0.22014,0.4578,0.24734,0.28591,0.24884,0.46048
0.24993,0.56384,0.32504,0.47647,0.42946,0.54619
0.13245,0.35437,0.16347,0.23243,0.33161,0.53943
0.24353,0.62561,0.32062,0.58983,0.24777,0.52246
0.25263,0.33818,0.18066,0.57154,0.20558,0.28442
0.17465,0.41702,0.26842,0.40038,0.20229,0.27815
0.31106,0.5403,0.18449,0.604,0.20657,0.40234
0.0877,0.50892,0.29726,0.55535,0.38345,0.33322
0.21202,0.63225,0.19367,0.48669,0.074034,0.51122
0.14617,0.24577,0.19164,0.69371,0.22432,0.32846
0.26765,0.28083,0.17247,0.3767,0.23793,0.45436
0.25526,0.26773,0.26118,0.40908,0.26922,0.31758
0.2491,0.35913,0.23206,0.25292,0.18725,0.24682
0.22688,0.24462,0.17735,0.63721,0.1619,0.41694
0.0851,0.22841,0.11844,0.40905,0.40146,0.29744
0.38872,0.23299,0.23129,0.36227,0.37822,0.43648
0.26384,0.43809,0.20224,0.46418,0.2107,0.25845
0.24885,0.50832,0.13896,0.45962,0.22676,0.40226
0.22906,0.15189,0.24751,0.66442,0.25058,0.35961
0.25105,0.19381,0.14646,0.52768,0.1407,0.37145
0.13369,0.28724,0.24101,0.44668,0.22871,0.52209
0.14721,0.3,0.24797,0.48621,0.1402,0.30463
0.17397,0.16102,0.18616,0.30578,0.36125,0.43743
0.196,0.45147,0.14401,0.35885,0.29402,0.33576
0.26989,0.59031,0.24068,0.66351,0.24547,0.23094
0.2005,0.34009,0.3733,0.23017,0.12011,0.36899
0.19849,0.31151,0.19863,0.3786,0.15373,0.27603
0.29097,0.36745,0.17515,0.31009,0.25949,0.25585
0.16944,0.21193,0.20384,0.57916,0.222,0.35751
0.11794,0.17642,0.18931,0.35932,0.29818,0.51606
0.13012,0.25924,0.11341,0.53214,0.20908,0.44022
0.20175,0.5109,0.32892,0.60004,0.21563,0.30862
0.23791,0.32682,0.27774,0.52873,0.18954,0.39486
0.16521,0.51321,0.28498,0.54168,0.19944,0.4582
0.14987,0.45584,0.16479,0.3385,0.30433,0.32086
