LPS, LS, LP, PS, LPSLow, LSLow
0.67859,0.80574,0.7338,0.66435,0.75704,0.64858
0.74527,0.73974,0.72821,0.67999,0.70331,0.73146
0.69408,0.69814,0.6708,0.75622,0.62049,0.68538
0.72459,0.79659,0.67183,0.70789,0.65946,0.74861
0.75872,0.70132,0.68167,0.7511,0.76018,0.75377
0.75509,0.66571,0.67963,0.70174,0.73353,0.70801
0.7111,0.76307,0.67621,0.74802,0.7344,0.78894
0.69846,0.65796,0.71729,0.78593,0.69604,0.69507
0.70853,0.71208,0.72856,0.66211,0.74424,0.78949
0.7365,0.66482,0.70149,0.63782,0.71171,0.69744
0.76459,0.77384,0.70446,0.70081,0.69634,0.64861
0.70818,0.68563,0.68146,0.75301,0.73351,0.7816
0.71235,0.69013,0.69248,0.68085,0.6607,0.70789
0.67067,0.6857,0.74612,0.76828,0.7073,0.56558
0.69296,0.67041,0.71533,0.79435,0.72479,0.72829
0.71693,0.66004,0.61301,0.72199,0.73234,0.73195
0.68196,0.66506,0.73052,0.63243,0.69571,0.7597
0.71476,0.674,0.73486,0.61754,0.72173,0.82056
0.70811,0.72353,0.74579,0.69768,0.7002,0.67054
0.74275,0.76479,0.69266,0.70807,0.69412,0.68104
0.70704,0.7344,0.69643,0.82282,0.77254,0.66362
0.71381,0.69505,0.71209,0.68303,0.66304,0.68496
0.70017,0.71966,0.73378,0.73884,0.70303,0.6625
0.77474,0.72659,0.64612,0.79585,0.7112,0.67725
0.74035,0.74074,0.71463,0.63712,0.6391,0.63237
0.69461,0.71837,0.79631,0.81305,0.6936,0.68397
0.72059,0.64214,0.68525,0.70853,0.634,0.67289
0.70823,0.72296,0.75214,0.75013,0.63414,0.61151
0.69254,0.72315,0.74415,0.64116,0.67725,0.75673
0.74541,0.56176,0.67749,0.64436,0.74601,0.63967
0.77063,0.72288,0.66384,0.70057,0.75874,0.75049
0.7052,0.69786,0.66877,0.70404,0.74852,0.57789
0.72607,0.69136,0.65733,0.77284,0.6985,0.70529
0.79317,0.73135,0.63941,0.78205,0.69114,0.68822
0.69017,0.70714,0.78329,0.75109,0.73258,0.78421
0.70749,0.67992,0.74401,0.72949,0.65043,0.63626
0.71628,0.72301,0.70917,0.64664,0.66714,0.69342
0.74541,0.74342,0.7336,0.64968,0.74759,0.7648
0.73284,0.66377,0.68675,0.68291,0.67484,0.6629
0.71507,0.68643,0.74911,0.71942,0.7555,0.69308
0.71174,0.6946,0.71755,0.73113,0.6928,0.71135
0.71992,0.71429,0.65913,0.80522,0.6861,0.72356
0.62221,0.75595,0.74438,0.67942,0.7392,0.71214
0.67469,0.67792,0.76817,0.73817,0.69919,0.66234
0.72564,0.65429,0.73259,0.78701,0.6571,0.70344
0.6879,0.6458,0.74289,0.76959,0.67447,0.68863
0.70502,0.69613,0.60298,0.81313,0.72648,0.6742
0.69073,0.66616,0.73363,0.69532,0.76667,0.65826
0.76939,0.65105,0.78587,0.66156,0.67553,0.66161
0.66931,0.72632,0.66279,0.70276,0.74114,0.6867
0.72817,0.76948,0.67964,0.74075,0.72468,0.72973
0.74862,0.67749,0.62979,0.73132,0.74999,0.72609
0.71555,0.65692,0.69995,0.68071,0.65876,0.73865
0.70321,0.75848,0.67025,0.76265,0.65722,0.78473
0.71391,0.58372,0.63279,0.71172,0.68991,0.69506
0.69386,0.68617,0.7336,0.72762,0.70542,0.66925
0.72634,0.74176,0.75683,0.74596,0.74523,0.78993
0.66337,0.72718,0.70332,0.71059,0.68999,0.7966
0.68909,0.76112,0.71297,0.6617,0.72766,0.67748
0.7429,0.79403,0.70276,0.88596,0.7266,0.73924
0.70877,0.73933,0.73,0.77621,0.65387,0.70385
0.73624,0.75075,0.71081,0.68249,0.69603,0.72073
0.72822,0.73214,0.63949,0.81566,0.7252,0.75711
0.71846,0.65275,0.74197,0.73636,0.68212,0.73445
0.71262,0.85154,0.78107,0.73244,0.71893,0.73877
0.72999,0.77712,0.66341,0.8384,0.71923,0.77535
0.66453,0.80129,0.71324,0.69955,0.68356,0.6799
0.74755,0.74014,0.7546,0.64566,0.7135,0.70526
0.69743,0.74251,0.67397,0.74309,0.72849,0.65523
0.69557,0.64837,0.71961,0.68355,0.73213,0.63555
0.73137,0.66551,0.6922,0.75834,0.66616,0.70898
0.6873,0.77874,0.75812,0.65643,0.74556,0.66
0.75011,0.73205,0.73661,0.6442,0.65337,0.71395
0.70204,0.81192,0.7241,0.70819,0.69979,0.72631
0.70218,0.68998,0.69503,0.70406,0.71147,0.79257
0.71095,0.67854,0.70222,0.76598,0.75097,0.68879
0.68205,0.6767,0.69732,0.77754,0.70752,0.7428
0.69462,0.73247,0.72456,0.65006,0.72286,0.69967
0.71034,0.67308,0.71797,0.70014,0.66398,0.7684
0.73452,0.61755,0.72595,0.68963,0.71776,0.70206
0.7296,0.73446,0.75183,0.76613,0.68847,0.73983
0.69573,0.69319,0.70881,0.64477,0.65964,0.664
0.74574,0.64061,0.64493,0.73338,0.78083,0.73057
0.71453,0.7436,0.74259,0.76289,0.70518,0.6126
0.69794,0.65265,0.64306,0.7064,0.67882,0.67845
0.74051,0.69132,0.76477,0.69561,0.72816,0.76386
0.77048,0.79002,0.73847,0.81044,0.7335,0.72648
0.75767,0.66001,0.68785,0.65394,0.70093,0.70058
0.71536,0.66813,0.70901,0.72506,0.67438,0.69402
0.74619,0.66957,0.73309,0.67387,0.72314,0.68819
0.71203,0.69189,0.82713,0.70792,0.72914,0.70239
0.66718,0.56752,0.72025,0.66436,0.71875,0.71947
0.71947,0.79129,0.65251,0.64506,0.67653,0.79903
0.76159,0.62876,0.73163,0.68409,0.74155,0.8003
0.71729,0.74518,0.72811,0.69296,0.65824,0.62534
0.63151,0.66055,0.76366,0.73961,0.73528,0.77388
0.7219,0.61672,0.76719,0.70092,0.59338,0.67965
0.80528,0.70449,0.66353,0.77182,0.75739,0.70241
0.71671,0.67216,0.70096,0.69406,0.68152,0.78517
0.74662,0.77534,0.67652,0.73832,0.68553,0.62833
0.74757,0.60659,0.73756,0.7017,0.70515,0.76075
0.73239,0.71262,0.76111,0.74335,0.75271,0.5985
0.65931,0.57256,0.78326,0.77312,0.77497,0.77021
0.70114,0.72559,0.64366,0.64943,0.70485,0.72931
0.71207,0.73453,0.70619,0.70433,0.69507,0.76882
0.66199,0.64355,0.70124,0.74271,0.69224,0.64394
0.7109,0.66249,0.73412,0.6393,0.7131,0.69219
0.67812,0.67738,0.79067,0.75209,0.74723,0.65935
0.77434,0.67918,0.70446,0.69569,0.6828,0.69416
0.66648,0.68369,0.69992,0.62424,0.70185,0.67431
0.67209,0.72788,0.70255,0.6856,0.76392,0.70512
0.67365,0.81583,0.70634,0.79218,0.72194,0.74082
0.68176,0.69397,0.71887,0.70277,0.68151,0.69931
0.76227,0.62352,0.72502,0.74615,0.7179,0.68389
0.76933,0.63239,0.74627,0.73002,0.6541,0.72027
0.70813,0.76795,0.71729,0.72067,0.74881,0.76865
0.74042,0.73799,0.68959,0.82205,0.73739,0.64541
0.69233,0.69926,0.72058,0.72636,0.73788,0.73602
0.66536,0.69746,0.6828,0.79244,0.67095,0.76652
0.68956,0.68931,0.75648,0.84852,0.6677,0.70165
0.69496,0.74984,0.74212,0.72504,0.7074,0.73545
0.68943,0.6717,0.57973,0.78878,0.65121,0.71853
0.71483,0.81849,0.70908,0.71354,0.73727,0.68277
0.7588,0.61651,0.70581,0.71974,0.67315,0.66641
0.71633,0.71739,0.73821,0.742,0.74034,0.79314
0.72977,0.67849,0.67541,0.77829,0.6908,0.76856
0.68843,0.68859,0.72724,0.64098,0.72955,0.74017
0.71776,0.65549,0.71831,0.77364,0.72209,0.70916
0.72149,0.76477,0.7774,0.76235,0.74051,0.65041
0.6858,0.67094,0.74227,0.65526,0.78479,0.67698
0.75544,0.74716,0.67692,0.72742,0.7218,0.70848
0.69013,0.7123,0.65906,0.59171,0.78088,0.74031
0.72855,0.7027,0.69782,0.70311,0.78038,0.56794
0.73465,0.65525,0.70145,0.66094,0.76577,0.71114
0.69581,0.69448,0.75225,0.60269,0.71839,0.64917
0.73706,0.74494,0.70422,0.73138,0.68986,0.7631
0.68797,0.73781,0.7123,0.60657,0.6873,0.80717
0.69993,0.75814,0.73691,0.75219,0.68466,0.64014
0.729,0.63344,0.76232,0.71424,0.67876,0.73685
0.64896,0.77326,0.6573,0.68141,0.77675,0.71972
0.70004,0.66389,0.74679,0.71204,0.78246,0.74503
0.72042,0.73561,0.72637,0.80549,0.73592,0.68167
0.71952,0.59625,0.64022,0.69177,0.78388,0.73623
0.71388,0.72033,0.67028,0.63127,0.59952,0.6973
0.76314,0.69691,0.68064,0.77583,0.77387,0.68776
0.72626,0.7132,0.75628,0.78459,0.67615,0.65933
0.75194,0.70865,0.76529,0.64882,0.64934,0.67227
0.75743,0.64581,0.71333,0.65592,0.72263,0.70723
0.73323,0.70653,0.76776,0.62428,0.70863,0.64325
0.66098,0.65696,0.67671,0.6905,0.73012,0.77165
0.69182,0.71203,0.68645,0.64332,0.69237,0.61715
0.70235,0.73385,0.7435,0.67809,0.65985,0.78951
0.69239,0.70742,0.761,0.81605,0.72652,0.76089
0.72449,0.75108,0.70411,0.72231,0.6932,0.72834
0.66604,0.64152,0.67154,0.75174,0.67037,0.7488
0.70675,0.7711,0.74632,0.63942,0.69159,0.59723
0.75278,0.71269,0.7761,0.76398,0.73669,0.68319
0.73152,0.76033,0.65078,0.69356,0.74541,0.55257
0.70218,0.7769,0.76016,0.65787,0.70476,0.71285
0.69592,0.78439,0.73176,0.7537,0.7401,0.71361
0.77604,0.72117,0.69734,0.78685,0.68451,0.71355
0.6339,0.7707,0.70986,0.76657,0.71376,0.716
0.73365,0.76244,0.65799,0.63458,0.69604,0.76432
0.72853,0.70498,0.70406,0.72729,0.69752,0.74107
0.71019,0.79365,0.63802,0.69647,0.63073,0.70013
0.73305,0.6791,0.59923,0.77822,0.68454,0.71161
0.72265,0.75458,0.75474,0.73666,0.69508,0.67845
0.75379,0.74512,0.74447,0.61883,0.72179,0.71701
0.69027,0.69964,0.66156,0.79866,0.7326,0.69778
0.72538,0.75879,0.71447,0.73814,0.62707,0.66845
0.72176,0.70924,0.72938,0.79256,0.62847,0.73833
0.72732,0.6949,0.74221,0.66758,0.72968,0.73041
0.73995,0.78235,0.69798,0.64776,0.74182,0.69063
0.76083,0.74748,0.65239,0.72541,0.69791,0.79597
0.73498,0.76244,0.69198,0.7522,0.77857,0.70919
0.70164,0.64408,0.69415,0.796,0.77213,0.65184
