LPS, LS, LP, PS, LPSLow, LSLow
0.91556,0.93367,0.58002,0.51881,0.68623,5.629
0.80138,-0.20637,0.74076,0.76864,0.93254,0.43607
0.78363,0.79577,0.87677,0.81841,0.90321,0.16404
0.78895,0.89441,0.88954,0.63024,1.1279,2.4618
0.67692,0.55566,0.97021,1.5436,0.61951,0.84285
0.5922,5.0892,0.70317,0.43828,0.94858,-1.2005
0.83726,-1.8508,0.97313,1.0831,0.86535,1.5195
0.64151,2.8373,0.56955,0.92964,0.66554,2.1468
0.96359,2.5969,0.76682,0.48201,0.92506,-0.29956
0.78858,-2.99,0.70143,0.52165,0.68509,2.7342
0.74296,4.5574,0.59807,1.0583,0.8617,0.84118
0.76634,-0.09702,1.0803,0.63959,0.82859,3.9508
0.93928,2.2881,0.78665,0.5254,0.75162,3.8382
0.99435,5.6305,0.66355,0.67151,0.64472,-3.562
0.87753,2.2357,0.75609,1.1028,0.76495,0.31214
0.92066,0.86495,1.2194,1.1534,0.81543,2.7643
1.0049,2.2445,0.81654,0.3691,0.63468,3.8131
0.78939,3.1328,0.72606,0.68349,0.82547,-0.53581
0.81448,3.2626,0.45076,0.15959,0.83422,0.64577
0.75674,2.7282,0.61812,-0.0030931,0.76245,0.37032
1.0342,-3.8826,0.92682,1.456,0.70211,5.5692
0.7141,1.0096,0.55249,0.49362,1.1274,5.9099
0.8175,3.7072,0.61564,1.0411,1.1303,3.528
0.69374,-1.9366,0.99576,0.63631,0.82986,1.5122
0.63412,3.7614,0.82498,1.0756,0.98984,-3.8902
0.81631,0.57856,0.51262,1.1832,0.72432,2.6732
0.58513,4.6926,0.8398,1.2634,0.83722,-0.47451
0.84326,2.7911,0.64253,1.0873,0.80902,2.6091
0.94076,-2.1599,0.75554,0.44657,0.92477,-0.40197
0.65496,2.6063,0.60605,0.64573,0.74124,-0.28391
0.51662,2.557,0.96458,0.82589,0.77926,0.25678
0.88191,-0.74079,0.7414,0.51948,0.77405,1.9939
0.98211,3.1133,0.75374,1.0611,0.83069,-0.80748
0.52904,2.6606,1.0421,0.43526,0.77124,-0.33445
0.78937,0.91747,0.43612,1.475,0.85019,1.7615
0.74789,-0.28422,0.70843,0.47781,0.95794,2.0586
0.84141,1.2756,0.55577,0.67634,1.0879,-4.0531
0.72584,-0.95596,0.68982,0.38526,0.65724,-0.87417
0.88629,5.2762,0.74098,0.47644,0.62622,1.7747
0.66041,2.3983,0.56888,1.3245,0.79423,-0.93699
0.89671,-1.1361,0.63175,1.1048,0.52291,-0.98054
0.68407,1.5002,0.74426,1.0534,0.89377,0.76863
0.96828,0.19552,0.51136,0.49828,0.74433,1.9606
0.99101,-0.033328,0.68687,0.76437,1.0374,-3.0754
0.75718,0.30558,0.71097,0.71444,0.50581,-0.12265
0.79259,-1.1553,0.59144,0.97895,0.86204,-0.052
0.73435,-1.9375,1.267,1.0455,1.0513,2.1384
0.84226,1.9849,0.89819,0.8979,0.85252,2.1747
0.52991,3.3424,0.68971,0.28863,0.57218,3.2081
