LPS, LS, LP, PS, LPSLow, LSLow
0.18537,0.53102,0.55893,0.14325,0.55091,-4.502
0.49678,1.535,0.33822,0.30402,0.42969,0.86608
0.19783,0.35963,0.38686,0.60446,-0.22892,0.73014
0.53377,0.4042,0.2346,0.53758,-0.022289,-1.1596
0.63908,0.71907,0.17116,0.67854,0.72961,0.38455
0.55424,-3.7843,0.31273,0.612,0.43452,2.3571
0.33039,3.1215,0.0083869,0.58971,0.47262,-0.11526
0.42322,-1.6301,0.6541,0.73618,0.4198,-1.0089
0.3479,-1.4727,0.53769,0.15365,0.37692,1.7032
0.51276,4.269,0.41992,-0.061853,0.40857,-1.6026
0.60669,-3.1417,0.44442,0.45493,0.36812,0.13861
0.34154,1.2455,0.04563,0.693,0.37401,-2.5607
0.22007,-1.1957,0.28866,0.35106,0.33915,-2.4794
0.13362,-4.4698,0.59202,0.57415,0.35503,3.9717
0.31421,-1.1269,0.39213,0.69079,0.37103,1.0248
0.40872,0.18612,-0.49067,0.48813,0.51767,-1.5408
0.1756,-1.319,0.38215,0.098378,0.4971,-2.2323
0.31474,-1.9809,0.65976,-0.09313,0.34719,2.0414
0.34708,-2.1385,0.72039,0.49359,0.28221,0.38473
0.55096,-1.4503,0.5845,0.49344,0.41532,0.53717
0.20912,5.3576,0.18797,0.48442,0.49081,-4.4464
0.49479,0.4149,0.60521,0.56738,0.10466,-4.6515
0.21854,-2.2869,0.64152,0.47204,0.17171,-2.2116
0.56203,3.2025,0.01634,0.71533,0.27532,-0.10343
0.64595,-2.1398,0.52728,-0.048898,0.0040614,4.9194
0.24938,0.74285,0.85234,0.83354,0.31751,-1.6437
0.48802,-3.8112,0.1888,0.22657,0.068161,1.4829
0.31456,-1.3366,0.55219,0.45415,-0.058082,-1.6379
0.14281,3.4809,0.54176,0.0063022,0.072085,1.7637
0.62314,-1.8848,0.35494,0.14833,0.5283,1.3326
0.72276,-1.1893,0.10527,0.33753,0.59144,1.0961
0.27816,2.0279,0.28413,0.61124,0.54144,-1.3503
0.42747,-1.9609,0.26456,0.5308,0.38343,1.835
0.72155,-1.3744,0.049562,0.74382,0.33639,1.412
0.27445,0.29259,0.83975,0.46304,0.58478,-0.27759
0.36424,1.4151,0.40951,0.48543,0.14914,-1.3035
0.4251,-0.030794,0.5209,0.034734,0.03734,5.2727
