LPS, LS, LP, PS, LPSLow, LSLow
0.79195,0.77263,0.65897,0.66194,0.69902,1.2958
0.73917,0,0.73159,0.74269,0.77911,0.5744
0.75488,0.74691,0.7677,0.73698,0.82066,0.38545
0.73302,0.77114,0.78174,0.67987,0.85415,1.0746
0.69002,0.63868,0.80628,0.87633,0.66342,0.75865
0.66414,1.2643,0.72113,0.59086,0.78273,0
0.76086,0,0.81894,0.8031,0.7588,0.92335
0.69177,1.1212,0.64854,0.75845,0.70067,1.046
0.79226,1.102,0.72607,0.64397,0.78084,0
0.73431,0,0.71304,0.67906,0.70827,1.116
0.71407,1.2324,0.67382,0.80654,0.76495,0.77576
0.73934,0,0.83963,0.67322,0.75538,1.1984
0.79534,1.0679,0.74922,0.64991,0.73495,1.1928
0.81459,1.2942,0.68839,0.69237,0.69769,0
0.77295,1.0599,0.73264,0.80086,0.73684,0.49356
0.77756,0.77875,0.90706,0.82391,0.74185,1.1129
0.81395,1.0744,0.75139,0.5867,0.68423,1.1782
0.74818,1.1521,0.7052,0.74519,0.75637,0
0.75324,1.1648,0.59052,0.3921,0.76341,0.696
0.72207,1.1056,0.67221,0,0.733,0.55782
0.8181,0,0.79457,0.87543,0.70844,1.2938
0.71216,0.79844,0.64459,0.62091,0.84485,1.2995
0.76326,1.1802,0.66756,0.80167,0.84067,1.1734
0.70085,0,0.82354,0.6706,0.76268,0.92156
0.67421,1.1723,0.74395,0.84567,0.82312,0
0.76069,0.6466,0.61191,0.80828,0.72777,1.1167
0.66573,1.2694,0.77169,0.8614,0.77994,0
0.76364,1.1006,0.68344,0.81277,0.78173,1.1139
0.80128,0,0.7223,0.63734,0.80257,0
0.6833,1.1317,0.68313,0.71305,0.7187,0
0.62158,1.0812,0.80974,0.75716,0.7263,0.45081
0.77664,0,0.73563,0.62989,0.72803,1.0616
0.79124,1.1504,0.74092,0.80218,0.75532,0
0.62714,1.0979,0.8313,0.5812,0.7412,0
0.75104,0.78479,0.57596,0.87951,0.74722,0.96279
0.73201,0,0.7161,0.61876,0.80496,1.0621
0.75546,0.88135,0.65149,0.73261,0.8418,0
0.71092,0,0.70212,0.59121,0.68418,0
0.76448,1.2769,0.73208,0.62369,0.68193,0.99263
0.69664,1.088,0.64083,0.86365,0.73492,0
0.77591,0,0.68326,0.81073,0.63559,0
0.70374,0.93308,0.74795,0.78857,0.79126,0.72395
0.82488,0.39917,0.62106,0.64191,0.7263,1.0158
0.81335,0,0.69787,0.72031,0.81381,0
0.73269,0.49653,0.71585,0.69975,0.64175,0
0.75011,0,0.66054,0.7764,0.77523,0
0.72741,0,0.91283,0.78538,0.82453,1.0497
0.76905,1.0157,0.7722,0.78297,0.7484,1.0567
0.63177,1.1747,0.69702,0.51378,0.67001,1.1571
0.74649,0.87191,0.73893,0.8826,0.79823,0
0.75065,1.0925,0.81498,0.81371,0.6273,0
0.69227,0.74655,0.76927,0.87039,0.69095,0.91219
0.75154,0,0.79102,0.81535,0.74122,1.0352
0.73208,0,0.6746,0.77015,0.75369,0
0.70685,1.2353,0.54866,0.74911,0.76583,0
0.70312,1.1487,0.73833,0.58523,0.67442,1.0491
0.75359,0,0.69878,0.70744,0.74121,0.27142
0.79212,0.74507,0.78384,0.51664,0.7503,0
0.71718,1.1082,0.68068,0.78193,0.7087,0.90109
0.75408,1.022,0.7508,0.82126,0.74154,0.68535
0.74742,1.0174,0.76897,0.68477,0.75288,0.85432
0.73984,0,0.71921,0.55423,0.67629,1.0445
0.7708,1.1874,0.80965,0.73148,0.74706,0
0.76917,0.748,0.70958,0.85255,0.77559,0.95422
0.74031,0,0.67572,0.82957,0.80263,0
0.76233,0.63408,0.75843,0.80072,0.68303,0
0.74113,0,0.77027,0.81203,0.76701,0
0.73193,0,0.79956,0.88231,0.77659,0
0.76338,1.3022,0.77787,0.84304,0.75105,1.2201
0.73625,0.62159,0.73476,0.88078,0.73026,1.262
0.7565,0,0.70233,0.74102,0.75489,0
0.81266,0.55821,0.75508,0.77685,0.76821,1.2945
0.71453,0,0.63037,0.081683,0.74499,0.96968
0.7187,0.66339,0.64046,0.60112,0.74356,1.0733
0.77536,0,0.75085,0.83056,0.72107,1.0469
0.72134,0,0.79235,0.74404,0.68428,1.2005
0.82481,1.222,0.69307,0.73935,0.6731,0
0.78017,0.70915,0.65633,0.90902,0.72522,0.88421
0.77435,0,0.79934,0.81992,0.72825,1.1014
0.72547,1.1028,0.72248,0.85025,0.68861,0
0.72209,0.55843,0.56862,0.86402,0.72928,0
0.83057,0,0.82411,0.88503,0.81082,0
0.74068,0.61798,0.82286,0.81879,0.766,0.88145
0.80132,0.87942,0.74277,0.75984,0.75452,1.3097
