LPS, LS, LP, PS, LPSLow, LSLow
0.245,0.4747,0.18145,0.28284,0.12883,0.27685
0.22813,0.25697,0.14404,0.30198,0.27209,0.25534
0.13849,0.46698,0.097951,0.17585,0.19474,0.34445
0.16008,0.46042,0.1954,0.31039,0.1453,0.53544
0.13262,0.33853,0.22347,0.24441,0.15681,0.37457
0.28439,0.36756,0.22335,0.437,0.40721,0.3502
0.25054,0.62328,0.14995,0.3201,0.1962,0.37743
0.3329,0.27825,0.2644,0.42725,0.24797,0.10394
0.12468,0.3672,0.18458,0.36302,0.39009,0.45941
0.15176,0.21766,0.3716,0.57876,0.34171,0.37454
0.17164,0.30493,0.23966,0.32009,0.24806,0.43141
0.24479,0.37472,0.14674,0.51965,0.33478,0.30654
0.2736,0.26348,0.17391,0.42572,0.23795,0.32796
0.26595,0.45786,0.17911,0.35922,0.13383,0.29869
0.16682,0.27211,0.23588,0.40883,0.2467,0.40717
0.14274,0.25766,0.32301,0.50168,0.30112,0.35914
0.23443,0.31354,0.20519,0.66853,0.24114,0.33969
0.19705,0.3464,0.23545,0.58072,0.23996,0.4924
0.10956,0.21704,0.13559,0.48273,0.21322,0.48229
0.34511,0.24599,0.19815,0.33062,0.22699,0.43689
0.27004,0.39166,0.17482,0.40245,0.25682,0.38256
0.14075,0.36911,0.20774,0.46099,0.26771,0.56749
0.25438,0.3746,0.18232,0.37263,0.21763,0.20246
0.2173,0.46515,0.19073,0.40111,0.13303,0.33425
0.30161,0.22921,0.19479,0.60299,0.26949,0.39225
0.17672,0.22587,0.18179,0.41909,0.32734,0.31388
0.17515,0.30542,0.17377,0.22567,0.22119,0.41043
0.46255,0.26625,0.28108,0.54436,0.18165,0.2223
0.22754,0.20703,0.1509,0.47976,0.19847,0.32333
0.15266,0.33163,0.2497,0.50341,0.1879,0.29442
0.26105,0.47464,0.096981,0.33658,0.25195,0.41389
0.18386,0.34228,0.20361,0.41515,0.16385,0.42888
0.13339,0.29045,0.18765,0.33611,0.14055,0.38735
0.24269,0.384,0.18552,0.50172,0.096068,0.26761
0.17639,0.36129,0.2831,0.25751,0.1713,0.45353
0.24386,0.37576,0.19719,0.54748,0.24829,0.43106
0.23201,0.20321,0.1245,0.54963,0.35661,0.41562
0.20998,0.3447,0.16853,0.65226,0.26767,0.54674
0.20443,0.21493,0.12159,0.40339,0.25429,0.36465
0.23612,0.28629,0.16677,0.37071,0.27093,0.30466
0.26386,0.43919,0.13071,0.39507,0.30819,0.46644
0.18842,0.2217,0.18012,0.42819,0.19255,0.32896
0.3112,0.29691,0.27477,0.39721,0.17313,0.59739
0.22378,0.2854,0.23249,0.48631,0.16654,0.3468
0.29153,0.28649,0.22713,0.50237,0.22141,0.1975
0.10473,0.48555,0.2189,0.54344,0.25105,0.37937
0.36313,0.47107,0.1621,0.43328,0.23865,0.30937
0.19627,0.34258,0.24481,0.25431,0.18807,0.34729
0.13281,0.28677,0.30175,0.37294,0.13008,0.35653
0.33644,0.59241,0.36129,0.3845,0.2081,0.098579
0.34742,0.37919,0.25406,0.34879,0.17772,0.30277
0.3082,0.24697,0.16669,0.58952,0.23341,0.3077
0.15058,0.27342,0.26912,0.48369,0.22005,0.3181
0.18059,0.44969,0.19353,0.40071,0.12713,0.41394
0.25064,0.38983,0.21863,0.28995,0.15716,0.52572
0.22516,0.35158,0.29268,0.25759,0.11984,0.27301
0.18661,0.28743,0.20146,0.14433,0.18817,0.38938
0.12165,0.28627,0.16717,0.51778,0.18961,0.42453
0.3536,0.34829,0.2263,0.41795,0.13477,0.53353
0.15051,0.51192,0.14462,0.40028,0.33879,0.34253
0.22178,0.36106,0.28592,0.40029,0.20311,0.51653
0.162,0.1599,0.15236,0.36397,0.21916,0.36387
0.19657,0.59481,0.29822,0.64129,0.12791,0.46682
0.17986,0.29447,0.18278,0.41679,0.28654,0.36731
0.19672,0.49158,0.22853,0.55818,0.24299,0.45253
0.29274,0.51335,0.23723,0.44773,0.22811,0.40569
0.22504,0.22937,0.17422,0.34107,0.22542,0.40659
0.29589,0.34829,0.23832,0.29486,0.15754,0.31759
0.14526,0.32376,0.15858,0.41649,0.1723,0.23891
0.20504,0.34981,0.34898,0.47397,0.23683,0.27535
0.2941,0.40175,0.14037,0.34812,0.087922,0.40396
0.26596,0.24236,0.28923,0.66263,0.21671,0.51431
0.28353,0.41751,0.23298,0.27673,0.302,0.24873
0.19201,0.35973,0.27586,0.41366,0.12768,0.61655
0.25677,0.19503,0.36053,0.26652,0.20901,0.35581
0.22933,0.20441,0.26204,0.63624,0.25871,0.3593
0.14617,0.32153,0.2429,0.23952,0.14025,0.43857
0.16859,0.21807,0.11542,0.4399,0.23757,0.42477
0.12847,0.31893,0.42969,0.4561,0.28645,0.31136
0.1737,0.35961,0.16416,0.20126,0.34518,0.39557
0.25003,0.39466,0.24038,0.31941,0.17804,0.3872
0.32679,0.20786,0.23074,0.39094,0.21558,0.33483
0.26924,0.25096,0.14326,0.34035,0.22532,0.31836
0.2959,0.19737,0.17381,0.48256,0.24012,0.37583
0.24498,0.44558,0.13389,0.52612,0.30813,0.20033
0.094682,0.2648,0.20412,0.4788,0.1211,0.30616
0.23867,0.4901,0.21686,0.30803,0.20241,0.18808
0.21675,0.43977,0.1614,0.43093,0.2852,0.28399
0.21846,0.30145,0.18909,0.19897,0.1219,0.49108
0.17306,0.40511,0.26184,0.44234,0.21414,0.45254
0.23389,0.56801,0.2964,0.30821,0.27373,0.3372
0.16577,0.41462,0.20301,0.38947,0.3664,0.28014
0.17026,0.32008,0.21554,0.53547,0.19107,0.46784
0.16066,0.56753,0.09257,0.4016,0.21936,0.29671
0.19184,0.20019,0.31272,0.62952,0.059111,0.38839
0.16066,0.40309,0.20314,0.46152,0.25699,0.36786
0.14005,0.33594,0.21637,0.54311,0.25372,0.63553
0.1787,0.53698,0.21032,0.36866,0.28819,0.50106
0.1429,0.29882,0.113,0.3912,0.15816,0.42215
0.24591,0.17837,0.17527,0.59765,0.28666,0.36733
0.18146,0.20702,0.22153,0.42751,0.21265,0.27599
0.18785,0.5023,0.23642,0.58223,0.29313,0.37968
0.11574,0.23037,0.10281,0.40595,0.18668,0.18487
0.1859,0.39513,0.31891,0.51762,0.14705,0.23771
0.084263,0.37374,0.15303,0.45047,0.08644,0.44891
0.18394,0.37819,0.18704,0.68057,0.22948,0.28702
0.33579,0.51474,0.16732,0.60389,0.26581,0.42408
0.21798,0.37458,0.17525,0.1891,0.27837,0.48484
0.27796,0.19839,0.21731,0.35319,0.15646,0.19978
0.2156,0.45769,0.21298,0.39864,0.1411,0.37786
0.1927,0.26097,0.21264,0.4596,0.28594,0.41826
0.1593,0.21963,0.21964,0.39997,0.27261,0.42353
0.16875,0.48703,0.18697,0.38711,0.20766,0.43018
0.30429,0.4264,0.15961,0.40572,0.24487,0.3397
0.28734,0.1942,0.15745,0.337,0.28486,0.42374
0.20352,0.263,0.25325,0.46252,0.19647,0.31975
0.22479,0.38697,0.21232,0.602,0.25217,0.49113
0.14947,0.2639,0.10444,0.30862,0.20657,0.28659
0.32928,0.54128,0.24535,0.35017,0.26044,0.36218
0.20838,0.28467,0.34725,0.2523,0.27436,0.27401
0.16395,0.34683,0.25462,0.52194,0.28344,0.5258
0.17837,0.31042,0.31229,0.37449,0.21715,0.17116
0.22925,0.53435,0.30354,0.25801,0.18752,0.31712
0.13373,0.32489,0.1973,0.36184,0.28408,0.15647
0.28256,0.14495,0.16033,0.41332,0.27648,0.26295
0.26193,0.38958,0.14866,0.36266,0.25551,0.48403
0.28704,0.24416,0.13396,0.34503,0.21801,0.35553
0.15348,0.058918,0.27088,0.38648,0.3183,0.47256
0.28193,0.16445,0.25313,0.23936,0.23152,0.41315
0.18975,0.26477,0.33739,0.5339,0.1881,0.26847
0.28622,0.43301,0.16419,0.4413,0.25623,0.3469
0.37018,0.38817,0.24778,0.36622,0.19168,0.24116
