LPS, LS, LP, PS, LPSLow, LSLow
0.90513,0.80496,0.85158,0.81259,0.95571,0.97262
0.85449,0.88626,0.94785,0.80894,0.87903,0.84614
0.90125,0.886,0.91422,0.85716,0.94776,0.8658
0.90126,0.91621,0.89393,0.84271,0.83764,0.89703
0.8093,0.88874,0.83908,0.81006,0.81244,0.93949
0.93801,0.8695,0.90761,0.77508,0.86472,0.83285
0.91608,0.85999,0.86115,0.94654,0.82109,0.85445
0.88369,0.86278,0.83551,0.79112,0.87377,0.92288
0.84343,0.82207,0.83242,0.82546,0.85954,0.83548
0.87821,0.78455,0.87199,0.9161,0.83809,0.82616
0.86311,0.86706,0.89521,0.75519,0.88017,0.91996
0.86529,0.78744,0.85811,0.88602,0.77224,1.0042
0.81546,0.92356,0.83717,0.75967,0.81119,0.87382
0.94195,0.77853,0.88276,0.96226,0.90457,0.83092
0.94768,0.92347,0.87679,0.84287,0.8996,0.85884
0.86598,0.9626,0.84742,0.88762,0.90059,0.86471
0.87522,0.79248,0.88349,0.92309,0.84277,0.91797
0.8359,0.91438,0.865,0.88315,0.86219,0.87223
0.83369,1.0393,0.94987,0.8349,0.88686,0.90975
0.82079,0.88036,0.83641,0.78144,0.79762,0.91947
0.85706,0.97595,0.89612,0.82671,0.84415,0.84538
0.85887,0.92479,0.88264,0.87105,0.80745,0.96187
0.86077,0.80046,0.88319,0.84135,0.89682,0.92553
0.78324,0.88102,0.8146,0.89951,0.84343,0.88605
0.85665,0.81382,0.88466,0.86103,0.81047,0.79929
0.82931,0.86956,0.85139,0.85033,0.80614,0.89575
0.85742,0.88522,0.94266,0.75955,0.78359,0.9216
0.80407,0.90615,0.83997,0.79207,0.90925,0.89096
0.91968,0.89124,0.82974,0.7623,0.93278,0.78319
0.82334,0.95331,0.90222,0.86886,0.93142,0.77103
0.84503,0.79096,0.86333,0.91399,0.8258,0.89477
0.79166,0.88872,0.82361,0.7853,0.88275,0.75222
0.83717,0.90246,0.85238,0.85371,0.93244,0.81332
0.85823,0.87897,0.93202,0.88947,0.85485,1.012
0.88412,0.80119,0.78806,0.84154,0.87174,0.79178
0.83615,0.77073,0.91194,0.84508,0.92617,0.8577
0.88039,0.8199,0.83824,0.90551,0.9887,0.76468
0.80539,0.91947,0.96936,0.85139,0.89045,0.76406
0.87476,0.84325,0.971,0.92813,0.85236,0.71158
0.89869,0.92475,0.84448,0.94538,0.8851,0.99092
0.90435,0.95323,0.89871,0.77102,0.86396,0.88096
0.83394,0.74555,0.80254,0.82951,0.85766,0.94074
0.8649,0.98512,0.87014,0.9428,0.89601,0.75356
0.88877,0.87085,0.88081,0.83774,0.9251,0.78395
0.83634,0.88838,0.86826,0.96394,0.88193,0.89127
0.94763,0.87581,0.92203,0.87811,0.81674,0.89595
0.85916,0.86402,0.92292,0.79395,0.87836,0.89049
0.88765,0.83689,0.74544,0.80049,0.84148,0.84908
0.90688,0.7609,0.8424,0.85471,0.96651,0.82283
0.88735,0.87373,0.86649,0.85703,0.87216,0.94949
0.86038,0.92518,0.85002,0.97298,0.8347,0.72115
0.85316,0.90862,0.88807,0.9414,0.87423,0.86446
0.92084,0.69375,0.88274,0.87917,0.94739,0.8491
0.87256,0.83783,0.87962,0.83797,0.92676,0.92075
0.92025,0.83238,0.83671,0.87325,0.90552,0.92978
0.89107,0.81608,0.91619,0.82347,0.85671,0.87528
0.86559,0.86172,0.89678,0.98936,0.83928,0.85443
0.93754,0.86416,0.93942,0.91769,0.896,0.83408
0.85222,0.89736,0.87118,0.75361,0.85713,0.79324
0.90377,0.83262,0.83256,0.86241,0.772,0.90387
0.8727,0.86249,0.95026,0.83816,0.88218,0.81115
0.86817,0.86424,0.84557,0.86028,0.88187,0.87305
0.85199,0.84004,0.85104,0.75939,0.88118,0.80025
0.85557,0.81074,0.87235,0.85506,0.91609,0.84641
0.85173,0.79155,0.90447,0.84949,0.85717,0.7598
0.84123,0.87125,0.83155,0.84972,0.87317,0.93647
0.91908,0.83838,0.97804,0.84729,0.8528,0.89851
0.86177,0.74422,0.79549,0.88561,0.92576,0.80703
0.88256,0.86136,0.8421,0.79336,0.92826,1.0201
0.86749,0.87458,0.81975,0.98369,0.90271,0.90654
0.93615,0.86344,0.82181,0.89557,0.87336,0.88742
0.81697,0.8642,0.8876,0.80089,0.92147,0.90645
0.8625,0.91126,0.93348,0.92797,0.87218,0.88994
0.86151,0.91637,0.87695,0.84143,0.87994,0.84629
0.85739,0.83183,0.85669,0.93377,0.81614,0.89589
0.85166,0.84129,0.83258,0.84285,0.74673,0.91503
0.88267,0.8634,0.85625,0.89826,0.87035,0.81617
0.88443,0.90308,0.87781,0.91245,0.90939,0.89013
0.86693,0.91948,0.84334,0.89758,0.9201,0.83245
0.86568,0.84739,0.90958,0.78578,0.78485,0.89305
0.90356,0.82962,0.91408,0.88229,0.81877,0.86858
0.86357,0.89097,0.83529,0.78682,0.94252,0.82859
0.84258,0.82309,0.83515,0.87499,0.83115,0.88361
0.87915,0.80142,0.94263,0.9553,0.89125,0.76731
0.90309,0.87501,0.86897,0.82829,0.86622,0.95563
0.91104,0.78938,0.9128,0.81132,0.91787,0.8833
0.88268,0.88048,0.80581,0.97303,0.92334,0.87704
0.89126,0.97161,0.90944,0.92993,0.87285,0.9343
0.85985,0.87503,0.89549,0.90193,0.82221,0.77032
0.85844,0.84866,0.83207,0.87863,0.85935,0.86204
0.88814,0.89008,0.93373,0.92699,0.84971,0.87497
0.91589,0.92912,0.8732,0.82417,0.94445,0.93063
0.79873,0.828,0.88324,0.87963,0.92953,0.78317
0.82845,0.81129,0.9089,0.84313,0.82612,1.031
