LPS, LS, LP, PS, LPSLow, LSLow
0.060537,1.4429,-0.14951,1.01,0.0315,2.2184
0.069723,2.4684,0.02177,0.9964,0.056301,4.2289
0.1018,-1.484,-0.032695,0.90977,0.10268,0.68428
0.031608,1.2279,-0.017189,1.0516,-0.029229,3.3689
-0.0083104,0.48664,0.19899,-0.15365,-0.067014,-1.4516
-0.01357,-0.079,0.039595,0.47906,0.26724,-1.7499
-0.026515,4.561,0.09346,0.80159,0.040486,1.2285
0.17427,-1.3294,-0.061695,0.62558,0.12819,-0.015743
-0.012768,4.2195,-0.016075,1.0175,0.014518,0.41637
-0.061487,2.9035,0.16387,1.3523,0.051649,4.7479
-0.12353,0.019013,0.031277,0.68969,-0.046338,0.81921
0.15161,3.8819,0.056243,0.82164,0.21603,-0.87918
0.077885,0.093219,-0.085661,0.98,0.22692,0.77963
0.030865,3.4525,-0.05261,0.80314,0.023279,0.071076
0.005056,0.58075,0.14963,0.59636,-0.0019142,0.80085
-0.04519,3.8638,-0.10765,0.52047,-0.12204,-1.6901
0.11523,-2.1093,0.038621,1.5678,0.15661,0.5399
-0.053005,0.78589,0.15707,1.4628,-0.05556,-0.64904
0.047079,1.9879,0.038256,0.73849,0.18487,1.4284
-0.03312,-0.98201,-0.061485,0.21893,0.15609,-1.3138
0.12503,1.9583,0.2209,0.44614,0.1271,2.2295
-0.083229,1.421,0.038211,0.55332,-0.26671,1.1573
-0.00621,4.6925,-0.15962,0.66863,0.10862,0.42022
0.053735,0.50807,0.1404,0.73843,0.031824,0.80555
0.087711,-1.6118,0.028448,1.5157,-0.066205,-1.8133
0.24009,0.90278,-0.0249,0.17757,0.38114,-2.0093
-0.015872,0.90975,-0.044311,0.16441,0.1084,-1.8174
0.15788,-1.081,0.085561,1.054,0.2014,-0.57501
0.12712,2.6599,-0.081915,0.20729,0.026809,-0.54508
-0.017583,1.562,-0.018251,0.67295,-0.16545,1.1769
-0.0038908,1.6796,-0.0997,1.0047,-0.041112,2.7882
-0.16516,3.7472,0.011956,0.69424,-0.13428,-1.061
-0.051502,-1.5537,-0.061138,0.56744,-0.12029,2.8387
-0.004993,-3.0854,0.21658,1.1859,0.042455,0.27193
