LPS, LS, LP, PS, LPSLow, LSLow
0.80112,-0.6254,0.83425,0.46756,0.92161,-1.2034
0.6741,-1.7072,0.84423,0.21858,0.82371,-3.5482
0.80682,2.434,0.87739,0.44073,0.8266,0.13305
0.82754,-0.21347,0.77397,0.38645,0.60946,-2.2519
0.70239,0.25839,0.64485,0.45077,0.66551,2.3246
0.89476,0.80298,0.88927,0.41516,0.65257,2.5813
0.81689,-3.5594,0.73297,0.67081,0.66163,-0.37387
0.72173,2.1179,0.73913,0.57769,0.73955,0.78266
0.71634,-3.5421,0.69396,0.32912,0.83977,0.36752
0.7673,-2.3179,0.72514,0.55794,0.63384,-4.0574
0.74795,0.87889,0.80688,0.050951,0.81498,0.24026
0.73669,-3.3251,0.56451,0.7135,0.3515,1.9611
0.53348,0.79452,0.72243,0.16811,0.50095,0.049766
0.90039,-2.904,0.86858,0.79136,0.82494,0.49134
0.94536,0.33492,0.74692,0.56068,0.81457,0.19919
0.75573,-2.7935,0.82843,0.73226,0.9183,2.4794
0.6994,2.7109,0.84801,0.65796,0.59487,0.40307
0.71393,0.267,0.55636,0.54215,0.81988,1.6044
0.62377,-0.88014,0.93854,0.51473,0.69466,-0.34774
0.67543,1.8689,0.62245,0.53419,0.39394,2.3364
0.76417,-0.83399,0.61946,0.54305,0.64304,-1.5112
0.7277,-0.43924,0.78691,0.66488,0.71306,0.19655
0.75304,-4.0094,0.79178,0.52451,0.79907,0.34591
0.47602,0.43401,0.6103,0.62349,0.57916,-0.0057389
0.75776,2.1492,0.83223,0.44596,0.65341,2.4818
0.55535,-0.12306,0.75335,0.64511,0.36262,2.7771
0.72846,-0.022754,0.93366,0.3263,0.41703,2.897
0.63729,1.9397,0.67737,0.20285,0.73283,1.3239
0.7893,-1.7614,0.72368,0.2578,0.93618,1.0115
0.66434,-0.64696,0.85182,0.55952,0.92553,-0.63731
0.71813,-1.0154,0.79253,0.59637,0.76069,-1.7492
0.57808,-2.8619,0.65561,0.37386,0.88773,1.5728
0.67392,2.5304,0.70797,0.51268,0.92102,-2.1233
0.6852,4.1159,0.71335,0.54764,0.68814,0.7455
0.81121,-3.5279,0.51327,0.5069,0.76675,1.0217
0.63667,0.3149,0.89158,0.58779,0.86162,-1.8521
0.75346,0.60054,0.5995,0.58339,0.91066,4.2811
0.61378,1.5678,0.84356,0.43872,0.92172,2.9816
0.75885,1.8942,0.93276,0.68236,0.73238,1.2473
0.79095,1.4781,0.684,0.66298,0.8717,0.74519
0.87603,0.9448,0.6968,0.31452,0.73587,-0.31766
0.6003,2.2409,0.37845,0.46394,0.60839,-1.5366
0.71483,2.377,0.78675,0.67006,0.77,1.5331
0.79993,1.2965,0.75011,0.50997,0.88152,0.2214
0.76488,-1.7428,0.82849,0.66563,0.76799,0.2114
0.89596,-1.2405,0.92198,0.48867,0.51731,0.16787
0.8108,-1.557,0.85435,0.44825,0.74052,-1.7679
0.80576,2.1547,0.41052,0.5033,0.7327,-0.087045
0.83475,-1.2092,0.52297,0.59384,0.98216,-1.3492
0.79335,-1.5823,1.0191,0.38537,0.74658,0.64959
0.75652,-2.0475,0.86618,0.7528,0.76597,0.48801
0.69278,-0.4145,0.86975,0.5921,0.64785,-0.97018
0.81613,-0.30279,0.76444,0.6301,0.83579,-2.2308
0.7361,-0.096202,0.75561,0.44832,0.77761,-2.141
0.84715,0.70062,0.7377,0.56747,0.90452,1.6784
0.82132,0.66072,0.65274,0.3807,0.83365,-1.6868
0.6518,-0.81201,0.72998,0.68451,0.64821,2.1506
0.87313,0.17167,0.80276,0.58321,0.79797,-2.832
0.73937,2.9366,0.76722,0.23824,0.4897,3.4549
0.8485,-3.7808,0.59738,0.67231,0.55946,1.5225
0.81877,-1.6805,0.79921,0.5209,0.73016,-3.9296
0.76178,0.73912,0.72512,0.50116,0.69238,0.29073
0.66846,-5.1681,0.57725,0.42529,1.0126,2.061
0.73146,0.73577,0.4906,0.49896,0.76908,-1.0539
0.76179,-0.054192,0.85776,0.53983,0.71775,-0.054136
0.72293,1.9474,0.76334,0.48015,0.65032,1.2281
0.92087,1.8482,0.94294,0.48776,0.58398,-2.5968
0.73753,1.9346,0.27234,0.42362,0.97226,-2.1883
0.78704,-1.2561,0.68734,0.26335,1.0514,0.90227
0.7497,0.27481,0.60545,0.63316,0.81297,-0.048432
0.86399,-1.846,0.73431,0.68147,0.7091,1.0317
0.63888,0.56451,0.82618,0.41585,0.90755,-0.63639
0.71151,2.8601,0.91583,0.76057,0.58479,-2.02
0.70306,1.252,0.79036,0.46051,0.76791,-3.5664
0.62801,-0.18749,0.79711,0.6065,0.43045,2.8602
0.76366,1.3319,0.72296,0.40789,0.40515,-2.5566
0.80201,-0.13388,0.62464,0.54207,0.78623,-0.50643
0.77601,0.24739,0.81701,0.55392,1.0104,-1.5621
0.78074,2.3416,0.459,0.53339,0.87102,3.8159
0.66145,1.8289,0.84471,0.28336,0.53181,-0.34813
0.82431,0.80757,0.77356,0.63332,0.72127,0.62003
0.72786,0.38788,0.61801,0.23125,0.88042,-0.31124
0.66395,-0.58663,0.64464,0.50283,0.61326,1.2224
0.7894,1.0342,0.77008,0.73124,0.68452,3.5126
0.85017,-1.7044,0.68902,0.56679,0.8196,0.13357
0.86641,1.1624,0.72384,0.45083,0.7993,2.4426
0.72957,-1.1047,0.65244,0.77798,0.88001,0.25653
0.72195,-2.231,0.89413,0.60701,0.79485,1.3698
0.72955,0.68066,0.909,0.51149,0.72679,0.80469
0.74285,-2.9048,0.71214,0.5553,0.6589,-4.442
0.77204,1.9543,0.73525,0.74321,0.77118,-0.42531
0.83289,3.2101,0.64046,0.4076,0.95011,1.8057
0.54567,-2.9922,0.89085,0.617,0.84692,0.84804
0.68179,-3.6295,0.78534,0.58687,0.58721,2.5046
0.51369,-1.0032,0.61351,0.30395,0.62411,2.027
0.78708,-2.6193,0.85377,0.57087,0.49125,1.1127
0.87199,0.17346,0.65078,0.56453,0.50307,-0.53665
0.71297,-5.7563,0.70108,0.47826,0.6024,-0.11711
0.82468,-0.53743,0.55852,0.62138,0.49853,3.3813
0.68817,-2.2329,0.66209,0.47124,0.72284,1.4943
0.75913,-0.03587,0.89257,0.53535,0.77238,3.3189
0.71847,1.6559,0.53211,0.71199,0.75276,-5.0288
0.69647,-0.87023,0.94202,0.51869,0.78809,0.26296
0.80477,3.3907,0.64814,0.62141,0.80383,2.2057
