LPS, LS, LP, PS, LPSLow, LSLow
0.23966,0.95108,0,0.79501,0.17184,1.0644
0.26065,1.1136,0.14471,0.80897,0.23077,1.2578
0.30659,0,0,0.77262,0.30708,0.72785
0.17419,0.88673,0,0.80967,0,1.1737
0,0.63859,0.42444,0,0,0
0,0,0.19295,0.62406,0.4816,0
0,1.2559,0.29725,0.72781,0.20087,0.89921
0.39648,0,0,0.67547,0.34409,0
0,1.2575,0,0.80605,0.11851,0.59513
0,1.171,0.38551,0.85489,0.22687,1.2832
0,0.13475,0.17375,0.73595,0,0.76218
0.37167,1.2458,0.23859,0.7309,0.45625,0
0.27989,0.29461,0,0.80879,0.45735,0.76476
0.17059,1.218,0,0.72065,0.14994,0.26953
0.069212,0.67451,0.36899,0.66536,0,0.75986
0,1.2119,0,0.62271,0,0
0.3292,0,0.19162,0.88085,0.38383,0.65267
0,0.75054,0.3862,0.87291,0,0
0.21722,1.0254,0.18858,0.71873,0.40838,0.92776
0,0,0,0.44849,0.39329,0
0.33913,1.0198,0.44561,0.59928,0.3469,1.088
0,0.93363,0.19211,0.64111,0,0.84418
0,1.2811,0,0.69466,0.31633,0.59869
0.23625,0.63641,0.36457,0.71153,0.1806,0.77665
0.28758,0,0.16532,0.88633,0,0
0.46546,0.81205,0,0.40355,0.5755,0
0,0.80599,0,0.40616,0.33199,0
0.38319,0,0.28715,0.82283,0.42223,0
0.34068,1.1245,0,0.45372,0.15847,0
0,0.96747,0,0.69385,0,0.9121
0,1.0092,0,0.78538,0,1.1277
0,1.2158,0.1103,0.71381,0,0
0,0,0,0.6569,0,1.1555
0,0,0.43691,0.82636,0.20484,0.48004
0,1.2567,0.26772,0.77073,0.16692,0
0.18546,0.54371,0.30377,0.7999,0.27531,1.1319
0.28889,0,0.40935,0.79295,0.3553,0
0,0,0.36353,0.81334,0,0
0.24031,0,0,0.76185,0.22423,0
0.25802,0,0.1385,0.78143,0.27614,0.52362
0.23376,0.39933,0.20032,0.74868,0.18144,0.92247
0.35646,0,0.45215,0.78033,0.26759,1.1023
0.14914,0,0,0.81007,0.27804,0
0.35219,0,0.33928,0.75888,0.074979,0.46536
0,1.124,0,0.84934,0,0.71243
0,1.0688,0,0.85996,0.10345,0.79997
0.33421,1.0962,0.09854,0.55994,0.077319,1.1223
0,0,0,0.72887,0,0.7761
0,1.0093,0.52593,0.41526,0,1.0621
0,1.1081,0,0.8509,0.11228,0.49663
0.18062,1.1554,0,0.7316,0,0
0.34082,0.90731,0.25403,0.85773,0.38334,1.0099
0.23661,0.54836,0.30333,0.60475,0.34251,1.1669
0.31231,0.8139,0,0.76163,0.29337,1.1627
0,0.26437,0,0.7544,0,0
0.27519,0.31663,0.39337,0.76635,0,1.114
0.16787,0.98026,0.36579,0.79037,0.23192,0
0.27367,0.73362,0.27814,0.849,0.27775,1.2134
0,0,0.20756,0.80449,0.4138,0
0,1.2685,0.15982,0.77004,0,0
0,1.1068,0.43162,0.64714,0.26642,1.2772
