LPS, LS, LP, PS, LPSLow, LSLow
0.87134,0.84784,0.89847,0.85469,0.90874,0.88858
0.88284,0.95758,0.97759,0.93026,0.86816,0.75764
0.86841,0.85893,0.91019,0.85524,0.8814,0.93028
0.85925,0.9109,0.85421,0.89148,0.82727,0.91661
0.88967,0.99144,0.88311,0.93853,0.89648,0.92144
0.89135,0.94156,0.89684,0.88156,0.85857,0.86901
0.85686,0.87276,0.89995,0.94053,0.87681,0.92879
0.88197,0.88658,0.89268,0.64079,0.85766,0.93301
0.84798,0.87583,0.90003,0.85564,0.81494,0.87478
0.8818,0.7871,0.8244,0.83046,0.89151,0.88141
0.88746,0.96493,0.84033,0.99799,0.88085,0.80951
0.8531,0.93755,0.83895,0.81884,0.87946,0.93875
0.92744,0.84038,0.91478,0.91843,0.87467,0.95486
0.8759,0.85885,0.9009,0.9318,0.85038,0.94759
0.90349,0.96731,0.84588,0.90417,0.92668,0.83387
0.86568,0.88078,0.85113,0.88417,0.91903,0.83636
0.8617,0.88129,0.87854,0.86764,0.9045,0.92997
0.82469,0.80451,0.9173,0.90634,0.8696,0.92725
0.84044,0.86348,0.86114,0.90453,0.86812,0.88988
0.84896,0.89828,0.86526,0.89522,0.90038,0.96027
0.83238,0.88761,0.93419,0.9348,0.82608,0.86915
0.89015,0.93086,0.90883,0.88113,0.91339,0.94172
0.8694,0.94332,0.8779,0.89583,0.86956,0.9112
0.88417,0.86095,0.8494,0.94452,0.87771,0.938
0.86987,0.86462,0.89059,0.91332,0.86354,0.87861
0.92298,0.85908,0.77228,0.85097,0.92074,0.9423
0.80865,0.96427,0.87642,0.97965,0.90501,0.92122
0.88446,0.81278,0.8632,0.99303,0.85998,0.8983
0.92088,0.84245,0.87351,0.91656,0.8984,0.87254
0.80894,0.83254,0.88242,0.82531,0.89221,0.90046
0.90854,0.86635,0.92832,0.90407,0.86288,0.96993
0.86888,0.89218,0.90068,0.9478,0.90322,0.80615
0.81775,0.81796,0.88253,0.95129,0.8625,0.88147
0.89007,0.84171,0.92883,0.9552,0.86333,0.94738
0.86709,0.94249,0.83706,0.92133,0.80716,0.92538
0.87151,0.98426,0.84937,0.8387,0.89559,0.9623
0.88369,0.85363,0.86653,0.93376,0.85679,0.84036
0.88519,0.99166,0.89146,0.92737,0.82415,0.89954
0.89026,0.94223,0.8849,0.8688,0.89281,0.89109
0.88754,0.92644,0.84787,0.89536,0.89612,0.9107
0.93244,0.7984,0.8339,0.87169,0.88349,0.90593
0.82012,0.89894,0.90142,0.87881,0.96015,0.97052
0.92662,0.9043,0.82271,0.91557,0.88479,0.85015
