LPS, LS, LP, PS, LPSLow, LSLow
0.8703,0.82918,0.80027,0.77174,0.86713,0.79333
0.83851,0.93637,0.86743,0.74649,0.81823,0.73885
0.85205,0.91484,0.80095,0.86421,0.81608,0.9516
0.7419,0.9093,0.80249,0.73144,0.89197,0.87879
0.87121,0.84793,0.79417,0.85211,0.87975,0.86872
0.855,0.72587,0.82212,0.80892,0.87324,0.64045
0.85289,0.92226,0.78332,0.84262,0.87116,0.82529
0.80522,0.81302,0.65227,0.75573,0.87008,1.0054
0.83225,0.78303,0.74617,0.72806,0.8185,0.83055
0.75662,0.888,0.75371,0.79869,0.83768,0.92019
0.84611,0.77919,0.89997,0.65084,0.74548,0.7619
0.85984,0.91369,0.79779,0.93506,0.80574,0.91319
0.80216,0.79524,0.82425,0.84677,1.0019,0.89936
0.87614,0.69808,0.79997,0.79781,0.86702,0.88663
0.87099,0.83741,0.81805,0.7425,0.84637,0.89466
0.88371,0.9549,0.9172,0.82212,0.77852,0.83614
0.8423,0.81757,0.90629,0.6749,0.92527,0.84563
0.80443,0.89712,0.83773,0.79308,0.83437,0.85672
0.76995,0.80937,0.85946,0.82653,0.88736,0.74395
0.8414,0.91662,0.73205,0.83091,0.81943,0.81509
0.87235,0.91203,0.85319,0.7747,0.85426,0.89598
0.82426,0.85245,0.87065,0.79519,0.75024,0.80235
0.82526,0.8508,0.78251,0.86338,0.91228,0.63654
0.80858,0.85538,0.85251,0.8411,0.75814,0.84586
0.87409,0.70161,0.83816,0.81226,0.76959,0.74873
0.81609,0.76806,0.83534,0.77491,0.93441,0.84772
0.85344,0.9337,0.86936,0.84266,0.84103,0.78786
0.83037,0.80176,0.73546,0.73883,0.84867,0.66687
0.81506,0.88558,0.79738,0.7455,0.73536,0.77968
0.84956,0.99793,0.92495,0.87022,0.75143,0.81528
0.95181,0.69931,0.79861,0.65371,0.76473,0.73661
0.8381,0.81524,0.89254,0.81764,0.76341,0.65717
0.79612,0.70598,0.90197,0.79394,0.81858,0.89493
0.80181,0.79882,0.84072,0.91098,0.93601,0.88109
0.79471,0.73586,0.86622,0.85312,0.86522,0.67377
0.84126,1.0768,0.89396,0.95238,0.78441,0.78333
0.85674,0.77542,0.8604,0.92196,0.76451,0.84827
0.8512,0.92037,0.79488,0.78717,0.88803,0.79007
0.79565,0.95123,0.83418,0.85696,0.76644,0.779
0.84417,0.81952,0.84079,0.82466,0.85006,0.86523
0.83248,0.71464,0.81611,0.86375,0.96197,0.6889
0.89803,0.88615,0.83304,0.83656,0.83297,0.88796
0.86375,0.86082,0.8064,0.71457,0.84615,0.84039
0.91705,0.78716,0.85738,0.96248,0.71719,0.89721
0.83886,0.89337,0.87896,0.75018,0.8175,0.90405
0.77685,0.7838,0.72437,0.76998,0.83565,0.7886
