LPS, LS, LP, PS, LPSLow, LSLow
1.4668,1.5579,1.5425,1.2826,2.0225,3.1446
1.3788,2.7373,2.3388,2.1756,0.79192,-0.30934
1.273,1.3675,2.3133,2.1231,1.4274,2.1924
1.09,1.4066,1.4334,1.0971,1.3654,1.6796
1.5157,4.8095,1.3736,1.8381,1.5073,3.7112
1.5111,0.082691,1.6464,1.4769,1.4769,-4.5728
1.1093,1.1467,1.3493,1.8432,1.415,2.0118
1.637,1.9744,1.8193,-0.025268,1.2601,4.0557
1.1362,1.8227,1.5324,0.15324,1.6247,0.93081
1.5912,0.04358,1.0273,0.81942,1.0409,1.7292
1.3804,2.4498,1.0285,0.58097,1.9789,-0.83187
1.4179,2.687,1.1371,1.8042,1.3838,2.7301
1.4043,1.645,1.5101,1.4596,1.6073,3.053
1.3679,-3.9317,1.7128,1.1261,1.7373,2.6956
1.5832,4.7649,1.7116,1.6634,1.8308,2.1759
1.2452,2.6802,1.4723,1.5811,1.8112,1.0747
1.1787,0.46952,1.7341,0.032819,1.3508,0.76366
1.0121,2.0907,1.7807,1.6768,1.5517,1.8769
0.78358,0.26692,1.1263,2.0172,1.0083,0.67538
1.3546,2.7827,0.83158,1.4787,1.521,5.7563
1.0166,0.10818,1.8774,0.89055,1.3438,0.035544
1.3911,1.4598,1.5514,1.1452,1.4884,4.2602
1.544,3.7453,1.5771,1.3397,1.5181,1.314
0.92946,2.162,1.1736,2.018,1.8503,4.5462
1.2937,0.010683,1.5406,1.6489,1.1582,0.012941
1.718,-0.55131,1.026,0.85864,2.1748,3.357
1.115,5.3477,1.2172,2.5116,1.5374,3.7943
1.5085,0.45151,1.3967,0.73898,1.5153,-1.8518
1.7718,-0.64037,1.2322,1.4374,1.9072,-1.234
1.1134,1.8644,1.2778,0.9614,1.5545,1.9978
1.7801,-1.5081,2.3873,1.7236,1.6698,5.8702
1.6529,1.094,1.499,2.1202,1.7909,0.20337
0.89051,-2.8035,1.2438,1.6744,1.5022,4.1281
1.255,1.0498,2.552,2.3318,1.5015,4.4021
1.4759,3.4088,1.2499,1.9961,0.79097,4.7768
1.1417,4.2104,1.2883,1.1223,1.6372,1.2703
1.4494,-1.8323,1.38,1.9929,1.0158,2.8428
1.4938,3.2085,1.5176,0.69913,1.682,1.5027
1.5141,2.4805,1.7673,1.4201,1.5845,1.4116
1.4836,3.0868,1.3715,1.825,1.5091,2.5011
2.0065,-1.0021,0.97469,1.5775,1.2166,1.6394
1.27,1.8957,1.3614,1.0751,2.2198,4.462
1.7841,2.1405,1.5046,0.89745,1.3676,1.1855
1.273,1.2485,1.2545,1.9427,1.5858,2.9283
0.99511,1.2799,1.6751,0.73751,1.4887,4.5248
1.7119,0.22329,1.3261,1.774,1.9778,0.93541
1.0286,1.3367,2.2212,0.56126,1.6566,1.2432
1.9419,2.9379,1.6021,1.4105,1.8387,-0.77849
1.3123,6.0418,1.4311,1.455,1.5633,2.5661
1.734,-0.92707,1.2081,2.0148,0.60233,-1.1573
0.79115,2.2549,1.4127,1.0662,1.8664,3.1218
1.2162,0.96261,1.5228,1.6522,1.6357,-3.2631
1.4199,3.6083,1.5519,1.51,1.6997,3.0936
1.5645,2.2996,1.8854,1.0666,1.4261,1.4525
1.4164,2.5864,1.1389,1.2001,1.4008,2.0652
1.1677,3.1848,1.3493,1.4726,1.5971,3.6343
1.4685,4.1671,1.5042,1.512,1.5793,0.63845
1.8249,4.1934,1.5949,1.052,1.1522,2.5851
1.7046,0.53624,1.6975,1.7761,1.6912,3.8198
1.0389,3.5447,1.3729,1.0019,1.8062,2.3403
1.5723,2.2844,0.81153,1.2659,1.402,2.0655
1.7246,4.0123,1.281,1.4843,1.7873,3.8332
1.7246,3.1559,1.1065,0.32899,1.9907,1.624
1.5429,5.0631,1.7203,0.73207,1.7139,1.7045
1.8473,1.2854,1.9421,1.2684,1.3068,0.88412
1.5057,5.1346,0.82722,1.098,2.2146,3.0952
0.70186,1.7475,1.4326,1.7076,1.37,1.7145
1.3552,1.4148,1.1741,0.80228,1.7174,3.7669
2.0477,0.91969,1.5649,2.4515,1.9007,1.3353
