LPS, LS, LP, PS, LPSLow, LSLow
0.32135,-0.080129,0.097716,0.012299,0.065392,-1.5378
0.1546,-0.38944,0.31518,-0.28712,0.27203,0.69631
0.23869,0.41428,-0.14658,0.062787,-0.003467,0.086516
-0.36073,0.85022,-0.12314,-0.36704,0.34099,0.4668
0.40518,-1.9321,0.043692,0.20987,0.35461,-1.6631
0.36215,1.6493,0.15532,-0.02228,0.2582,4.5385
0.27163,0.98198,-0.1168,0.43653,0.34196,-0.33424
0.05849,-0.54222,-1.1802,-0.025063,0.18541,-1.7103
0.22961,-0.2666,-0.0086033,-0.25809,-0.043488,0.39034
-0.19062,1.2824,-0.26078,0.16344,0.43782,0.086238
0.2969,-0.57311,0.35667,-0.64762,-0.37954,1.6861
0.30019,-0.24775,0.16502,0.33861,0.14461,-0.29975
0.13349,-0.39174,0.21021,0.2585,0.52611,-0.38638
0.38228,4.5916,-0.099307,0.22413,-0.0099075,-0.32444
0.39887,-2.1741,-0.093585,-0.32293,0.25142,-0.44713
0.43667,-0.58583,0.40622,0.16891,-0.16885,0.38912
0.19586,1.3058,0.21655,-0.32097,0.55017,1.3937
0.03846,-0.59737,0.10688,0.039757,0.18438,0.23349
0.092135,1.2806,0.4476,0.1581,0.41274,0.25535
0.24939,-0.87102,-0.035227,0.34428,0.35164,-3.4147
0.36721,1.9349,0.14592,0.078751,0.16246,1.7877
0.18953,0.66886,0.45029,0.044611,-0.076872,-2.378
0.11639,-1.7828,-0.1353,0.21269,0.52538,-0.55486
0.092416,-0.64142,0.31687,0.095811,-0.71265,-2.3256
0.41837,0.50202,0.38759,0.17786,0.0056732,1.3995
0.097068,1.8907,0.18658,-0.14124,0.26477,-0.85203
0.2608,-2.911,0.58779,0.083308,0.35798,-2.0093
0.23495,0.51966,-0.35843,-0.040686,0.058636,1.8077
0.15113,2.5753,0.14753,-0.25329,-0.5007,3.0871
0.28147,-0.032785,0.54547,0.40657,-0.14024,-0.544
0.46095,1.735,-0.3447,-1.4319,-0.29491,-4.49
0.19278,0.66272,0.32525,0.0052732,-0.29243,-0.88153
0.051076,3.4197,0.52091,-0.014501,0.039488,-2.3597
0.14968,0.29135,-0.12266,0.34561,0.43237,-1.9209
0.022223,-1.9133,0.42769,0.38627,0.60253,-3.9788
0.15569,-1.0063,0.404,0.51641,-0.14245,0.37951
0.28314,3.0774,0.20106,0.44762,-0.1708,-1.6113
0.17483,-0.25599,0.14284,-0.055733,0.00086682,-0.0054527
0.039348,-0.079278,0.18341,0.1671,-0.42282,-0.31736
0.31412,-1.1314,0.18347,0.060231,0.36577,-0.64793
0.16597,1.7962,0.22479,0.29106,0.56442,-0.67691
0.40072,0.22627,0.38275,0.32709,0.091998,-1.6804
0.3254,-0.14445,-0.071305,-0.28967,0.29288,0.6902
0.52826,-0.0067223,0.28976,0.40454,-0.5796,-1.159
0.14268,0.38516,0.26862,0.19623,0.15955,-2.283
0.064142,0.76231,-0.33129,0.091941,0.087613,0.74739
0.35079,0.51453,-0.42957,-0.39132,0.25025,1.242
0.18024,-1.0249,0.31893,0.1318,0.012565,1.9953
0.23612,-4.4407,-0.33185,0.56387,0.47043,-0.15782
0.078462,2.0934,0.24135,0.09,0.3156,2.6938
0.25339,0.18371,0.47499,0.077145,0.37789,-0.93975
0.035745,1.182,-0.42301,0.41558,-0.20134,4.3228
0.22586,-1.2981,0.46934,-0.23912,0.37903,-1.3501
0.34233,-0.099859,0.094372,-0.2122,-0.20009,-0.57469
0.31008,-0.94135,0.15836,-0.36665,0.14535,-0.32563
0.1402,-0.94488,0.11144,0.20097,-0.0090733,-0.97936
0.38944,-2.2919,0.045881,0.21958,0.28493,0.53555
0.11431,-1.6159,0.21596,0.45723,0.091463,-0.93371
-0.055786,1.6453,-0.31688,0.12158,-0.12843,-1.4465
0.082613,-1.177,0.32869,0.23722,-0.24369,0.23046
0.39181,-0.76383,-0.37379,0.1714,0.20735,-1.7924
0.15928,-2.2235,0.37996,0.60624,0.093474,-1.403
0.30587,-1.8703,-0.17775,-0.2601,-0.31093,0.67478
0.19784,-2.1443,0.13489,-0.27341,-0.04983,0.87253
0.46632,-0.17389,0.43816,0.33308,0.05834,0.922
0.29691,-1.8299,0.33658,0.026976,-0.29876,-1.5815
0.077845,-0.27094,0.47445,-1.3046,0.30277,0.13892
0.52876,0.40011,0.2671,-0.00050688,0.18344,-1.6672
0.20398,0.80827,0.37698,0.43186,0.016473,0.42749
-0.46521,2.4372,-0.25341,0.40777,-0.054159,-0.071584
0.57832,2.0996,0.3798,0.28565,0.59685,0.84867
0.40525,2.5206,0.22818,-0.58076,0.3388,0.40362
-0.081983,0.41134,0.044947,0.090096,0.018337,1.0203
0.16414,0.89895,0.39405,-0.59738,0.4904,2.1355
0.1541,-0.68223,0.13923,0.11922,-0.12444,-1.9654
0.39676,2.0425,0.29163,0.11884,0.10091,0.37776
-0.051041,0.46324,0.56312,-0.44906,-0.59337,1.5253
0.084885,-0.40452,0.11676,-0.23952,-0.30699,2.9726
0.20474,0.98198,0.52218,0.36624,-0.24652,0.85656
0.13576,-1.1309,-0.30611,0.43116,0.19767,-0.73031
0.31648,0.62903,-0.20222,-0.18443,0.25595,0.57828
