LPS, LS, LP, PS, LPSLow, LSLow
0.88719,0.92591,0.91203,0.87944,0.96636,1.1246
0.885,1.042,0.97839,1.0004,0.75197,0
0.86223,0.86631,1.0022,0.97527,0.90296,0.9796
0.87292,0.84618,0.91216,0.87482,0.87066,0.90644
0.88885,1.1737,0.89174,0.93974,0.89081,1.145
0.89087,0.2527,0.92147,0.91124,0.89266,0
0.82956,0.79238,0.8993,0.92694,0.87825,0.99014
0.92653,1.0007,1.0351,0,0.86362,1.1536
0.83781,0.96829,0.91777,0.42882,0.93173,0.78135
0.93762,0.19291,0.85197,0.76783,0.8039,0.93551
0.87586,1.0365,0.8066,0.75671,0.99025,0
0.88137,1.0315,0.84248,0.92843,0.88643,1.0367
0.89028,0.95805,0.90037,0.89016,0.89382,1.0571
0.8684,0,0.94563,0.83619,0.94255,1.0362
0.89833,1.1844,0.94513,0.95527,0.93648,1.0104
0.84436,1.0501,0.88263,0.91244,0.9607,0.81443
0.84829,0.56685,0.92796,0.21113,0.85513,0.67406
0.82556,1.0137,0.93991,0.93247,0.90762,0.94236
0.76272,0.44977,0.82119,0.9604,0.79829,0.71575
0.87493,1.0717,0.78631,0.88743,0.8929,1.2428
0.80325,0.27917,0.94765,0.79341,0.87901,0.16533
0.88455,0.86489,0.89096,0.85261,0.91656,1.1905
0.91101,1.1521,0.93207,0.87498,0.88184,0.92732
0.80221,1.0219,0.83908,0.96414,1.0018,1.1899
0.85396,0.10655,0.89334,0.92033,0.8579,0.10464
0.93357,0,0.8179,0.80206,0.9681,1.0929
0.83146,1.2207,0.82969,1.003,0.89474,1.1654
0.89856,0.60352,0.92409,0.75929,0.911,0
0.93621,0,0.86136,0.92204,0.99203,0
0.8297,0.95736,0.84318,0.78773,0.92959,1.0028
0.91858,0,1.0189,1.0487,0.95404,1.2921
0.91989,0.80077,0.8915,0.9784,0.96681,0.53881
0.79548,0,0.83872,0.9357,0.91051,1.1884
0.86518,0.81576,1.0167,0.97624,0.88518,1.1688
0.90808,1.1534,0.84577,0.94531,0.72909,1.2782
0.84402,1.123,0.85397,0.8159,0.93985,0.85246
0.8871,0,0.88209,0.94156,0.84235,1.1202
0.90041,1.0572,0.90576,0.7475,0.93559,0.91361
0.91212,1.0098,0.93372,0.89037,0.95329,0.92314
0.89003,1.0989,0.88194,0.94753,0.89037,1.044
0.95896,0,0.80349,0.90425,0.83103,0.97845
0.85104,0.9447,0.86734,0.8187,0.98148,1.1582
0.92699,0.98898,0.91834,0.82422,0.87412,0.81738
0.84343,0.87504,0.85563,0.93907,0.96507,1.0948
0.8141,0.85375,0.91786,0.74077,0.9007,1.1877
0.93495,0.44023,0.91161,0.94012,0.96093,0.7592
0.80704,0.85505,1.0126,0.72432,0.91675,0.79642
0.952,1.0873,0.9057,0.89131,0.95192,0
0.86898,1.2877,0.92694,0.87043,0.89135,1.0195
0.93655,0,0.85059,0.9642,0.68445,0
0.75308,0.97909,0.86953,0.8344,0.93279,1.0894
0.86636,0.7402,0.94578,0.90612,0.94368,0
0.88648,1.1234,0.88988,0.93079,0.91409,1.1119
0.89934,0.99852,0.95159,0.85634,0.91661,0.94833
0.8805,1.0667,0.8433,0.89378,0.88895,0.99406
0.8501,1.0919,0.88334,0.89574,0.92606,1.1077
0.88313,1.1851,0.91035,0.90002,0.90486,0.68305
0.94417,1.1511,0.91121,0.80504,0.85059,1.0661
0.94186,0.57961,0.95863,0.9385,0.94514,1.1358
0.82821,1.1154,0.87263,0.80889,0.96511,0.98306
0.89733,1.0382,0.80855,0.86558,0.88501,1.1026
0.93042,1.1799,0.85427,0.87219,0.94147,1.1339
0.92142,1.1455,0.86168,0.58849,0.98682,0.88733
0.9056,1.1853,0.93145,0.77618,0.94252,0.88648
0.92567,0.89337,0.9371,0.85517,0.88019,0.73529
0.89423,1.1725,0.75761,0.84461,1.0041,1.1259
0.738,0.96086,0.87257,1.0362,0.87385,0.93053
0.85717,0.87452,0.84254,0.7753,0.92809,1.1463
0.96051,0.75146,0.89726,0.9806,0.95788,0.86029
0.86508,0,0.90196,0.95684,0.90785,0.93534
0.87139,0,0.67588,0.65741,0.7197,0.70323
0.90798,0,0.85775,0,0.79652,0.81137
0.91912,0.85183,0.94035,0.89786,0.9202,0.74809
0.93329,0.56029,0.9074,0.9432,0.71792,0
0.91769,1.0465,0.9371,0.41491,0.96806,1.1689
0.87366,0,0.89148,1.0401,0.96492,0.88148
0.94142,0.59184,0.8751,1.0168,1.0177,0
0.93242,0.94401,0.90924,1.0269,0.87846,0
0.78783,0.4906,0.91506,0.92196,0.95059,0.77863
0.91983,1.1189,0.95865,0.92381,0.89579,1.0559
0.86741,0.31502,0.84772,0.87309,0.90959,0.89828
0.9957,1.275,0.95064,1.0146,0.98248,1.1395
0.89425,0.89752,0.88549,0.92789,0.87313,0.61329
0.86408,1.1695,0.9685,0.78243,0.87236,0.34208
0.88912,1.1063,0.89935,1.0262,0.83545,1.1572
0.89263,0.97773,0.90897,0.82877,0.85175,0
0.95551,1.066,0.91683,0.9302,0.88059,1.0511
0.78947,1.0241,0.91422,0.6464,0.87267,0
0.89378,0.30575,0.9921,0.93337,0.98749,0.99824
0.82722,0,0.88616,0.97148,0.97819,1.1147
0.78263,0.91816,0.80004,0.89843,0.92264,0.35778
0.97364,0.84859,0.99963,0.93446,0.93984,1.1051
0.79007,1.0918,0.93598,0.9165,0.91706,1.0072
0.93341,0.70317,0.99889,1.0454,0.90582,0.58366
0.88686,0,0.84415,0.94044,0.90846,0
0.85389,0.98445,1.0019,1.0104,0.85549,1.113
0.90354,0.46587,0.95958,0.91152,0.95179,1.1093
0.88347,1.1845,1.0032,0.80608,0.86955,0.64028
0.97588,0,0.83694,0.96512,0.96473,0.81589
